p_val	avg_diff	pct.1	pct.2	p_val_adj	name
2.57201397730162e-06	0.200437699753638	0.561	0.476	0.00642746292927674	ISMARA- E2f7
2.65999744780248e-06	-0.235458972501857	0.47	0.558	0.00664733362205841	JASPAR2022-MA0505.2
2.81590034998128e-06	0.206994948780334	0.485	0.413	0.00703693497460321	ISMARA- Smad1
2.89104413100211e-06	0.206566901092825	0.507	0.417	0.00722471928337428	ISMARA- Mycn
2.9293338351901e-06	0.261858608785587	0.871	0.772	0.00732040525414005	Berger2008-Hoxb7-3953.1
3.1628877602468e-06	0.630125468721698	0.139	0.137	0.00790405651285675	JASPAR2022-MA0805.1
3.1628877602468e-06	0.630125468721698	0.139	0.137	0.00790405651285675	ISMARA- Tbx1
3.26238903173899e-06	0.195966571236151	0.478	0.384	0.00815271019031573	ISMARA- Foxn1
3.31621658319489e-06	0.236030828657635	0.784	0.696	0.00828722524140403	Berger2008-Lhx6-3432.1
3.40310512105069e-06	0.192044419267065	0.465	0.392	0.00850435969750568	JASPAR2022-MA1947.1
4.12009424091905e-06	0.210582424062637	0.616	0.529	0.0102961155080567	JASPAR2022-MA0711.1
4.30492173098603e-06	0.201920605409889	0.603	0.516	0.0107579994057341	JASPAR2022-MA0056.2
4.33032744053968e-06	0.199067714209723	0.379	0.334	0.0108214882739087	JASPAR2022-MA1601.1
4.41648745983165e-06	0.271846339974077	0.912	0.837	0.0110368021621193	JASPAR2022-MA0893.1
4.46608177307363e-06	0.169338693744421	0.633	0.541	0.011160738350911	ISMARA- Rreb1
4.48975961953831e-06	0.714090013095759	0.163	0.153	0.0112199092892262	Tbx21(T-box)/GM12878-TBX21-ChIP-Seq(Encode)/Homer
4.60861169137349e-06	0.189070663754137	0.56	0.479	0.0115169206167424	ISMARA- Gli2
4.71939534549827e-06	0.20704119971549	0.632	0.537	0.0117937689684002	JASPAR2022-MA0682.2
4.85542000673802e-06	0.226268490946243	0.484	0.417	0.0121336945968383	ISMARA- Bach2
5.23420943121717e-06	0.199513042847075	0.709	0.623	0.0130802893686117	Hnf6b(Homeobox)/LNCaP-Hnf6b-ChIP-Seq(GSE106305)/Homer
5.32507910726979e-06	0.221269514228602	0.819	0.731	0.0133073726890672	ISMARA- Prrx2
5.46024310647691e-06	0.180876687030615	0.565	0.498	0.0136451475230858	ZNF165(Zf)/WHIM12-ZNF165-ChIP-Seq(GSE65937)/Homer
5.61336916291865e-06	0.219056259402238	0.694	0.602	0.0140278095381337	JASPAR2022-MA1948.1
5.68732924634952e-06	0.188226776987864	0.524	0.454	0.0142126357866274	JASPAR2022-MA0734.3
5.8312778851747e-06	0.213654961666241	0.606	0.51	0.0145723634350516	ISMARA- Spib
5.8669542470527e-06	0.202617680621703	0.466	0.389	0.0146615186633847	JASPAR2022-MA0093.1
5.8669542470527e-06	0.202617680621703	0.466	0.389	0.0146615186633847	ISMARA- Mxi1
5.98565331650131e-06	0.202601344062339	0.431	0.384	0.0149581476379368	Max(bHLH)/K562-Max-ChIP-Seq(GSE31477)/Homer
6.00130420128834e-06	0.63747429878224	0.151	0.154	0.0149972591990196	JASPAR2022-MA0689.1
6.0783850820836e-06	0.204022185357362	0.513	0.447	0.0151898843201269	JASPAR2022-MA1491.2
6.14037506826784e-06	-0.269395971666848	0.775	0.812	0.0153447972956013	JASPAR2022-MA0025.2
6.24443537939994e-06	0.208626086077167	0.558	0.468	0.0156048440131205	JASPAR2022-MA0080.6
6.33182832141321e-06	0.286006527101667	0.821	0.739	0.0158232389752116	JASPAR2022-MA0820.1
6.33182832141321e-06	0.286006527101667	0.821	0.739	0.0158232389752116	ISMARA- Figla
6.74562579088255e-06	0.201343888895694	0.547	0.464	0.0168573188514155	ISMARA- Mtf1
7.08046512542774e-06	-0.280117515363384	0.643	0.694	0.0176940823484439	JASPAR2022-MA0524.2
7.14807904247296e-06	0.221984591328926	0.638	0.546	0.0178630495271399	ISMARA- Sox10
7.19349757453592e-06	-0.253265161302724	0.367	0.448	0.0179765504387653	Six1(Homeobox)/Myoblast-Six1-ChIP-Chip(GSE20150)/Homer
7.22254383542668e-06	0.212330440208803	0.517	0.452	0.0180491370447313	ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer
7.38643744659175e-06	0.170781130020669	0.484	0.411	0.0184587071790328	NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma-et-al.)/Homer
7.42262689816681e-06	0.190347342337847	0.489	0.404	0.0185491446185189	JASPAR2022-MA0823.1
7.42262689816681e-06	0.190347342337847	0.489	0.404	0.0185491446185189	ISMARA- Hey1
7.60613199342222e-06	0.224422647300013	0.8	0.726	0.0190077238515621	JASPAR2022-MA0704.1
7.70724148730429e-06	0.193604123459198	0.55	0.46	0.0192603964767734	ISMARA- Gli3
7.74493224399844e-06	-0.286301618736947	0.661	0.716	0.0193545856777521	JASPAR2022-MA0811.1
7.74493224399844e-06	-0.286301618736947	0.661	0.716	0.0193545856777521	ISMARA- Tfap2b
7.7738734267175e-06	0.209548017390022	0.638	0.56	0.019426909693367	ISMARA- Nr0b1
8.01833799992013e-06	0.186669887720713	0.249	0.205	0.0200378266618004	JASPAR2022-MA1114.1
8.02063553377403e-06	0.259840800930234	0.878	0.788	0.0200435681989013	Berger2008-Hoxa7-3750.1
8.25831894034387e-06	-0.533961563708394	0.932	0.942	0.0206375390319193	Hoxd10(Homeobox)/ChickenMSG-Hoxd10.Flag-ChIP-Seq(GSE86088)/Homer
8.31759377223891e-06	0.223622415186953	0.89	0.814	0.020785666836825	ISMARA- Isx
8.7991169082014e-06	0.218232384074679	0.608	0.539	0.0219889931535953	JASPAR2022-MA0040.1
9.17304883095913e-06	0.221921398535825	0.56	0.494	0.0229234490285669	JASPAR2022-MA1127.1
9.36033359699476e-06	0.264484657148286	0.868	0.791	0.0233914736588899	Berger2008-Hoxa7-2668.2
9.36033359699476e-06	0.264484657148286	0.868	0.791	0.0233914736588899	ISMARA- Hoxa7
9.69897106042106e-06	0.227128981820309	0.828	0.748	0.0242377286799922	Berger2008-En2-0952.1
1.01394614672566e-05	0.20960780635484	0.526	0.456	0.0253385142066742	JASPAR2022-MA1133.1
1.06200327308191e-05	-0.19409763509688	0.468	0.546	0.026539461794317	JASPAR2022-MA0065.1
1.06230378543514e-05	-0.224964115023744	0.565	0.612	0.0265469715980242	NFkB-p65-Rel(RHD)/ThioMac-LPS-Expression(GSE23622)/Homer
1.08017844798236e-05	-0.35335923466624	0.924	0.924	0.0269936594150792	ISMARA- Cpeb1
1.13939158474349e-05	0.226005009202689	0.628	0.546	0.0284733957027398	JASPAR2022-MA0840.1
1.14067764747066e-05	0.236135318131689	0.888	0.805	0.0285055344102919	JASPAR2022-MA0710.1
1.14067764747066e-05	0.236135318131689	0.888	0.805	0.0285055344102919	ISMARA- Noto
1.15556731835577e-05	0.250303343098314	0.897	0.822	0.0288776272857107	ISMARA- Dlx4
1.16013565988999e-05	-0.401435764738395	0.925	0.936	0.0289917901406509	Hoxd12(Homeobox)/ChickenMSG-Hoxd12.Flag-ChIP-Seq(GSE86088)/Homer
1.18757548075847e-05	0.203885630094954	0.483	0.41	0.0296775112641542	ISMARA- Nfatc3
1.22214554328871e-05	-0.197744878718347	0.528	0.603	0.0305414171267848	JASPAR2022-MA0592.3
1.22972671735699e-05	0.249432056010769	0.897	0.822	0.0307308706667512	Berger2008-Dlx4-3488.2
1.24642353564496e-05	0.195275778520519	0.411	0.363	0.0311481241557675	ISMARA- Maff
1.26688755228983e-05	-0.522152743860311	0.928	0.936	0.0316595199317229	JASPAR2022-MA0906.1
1.26688755228983e-05	-0.522152743860311	0.928	0.936	0.0316595199317229	ISMARA- Hoxc12
1.29309989822582e-05	-0.235554753304431	0.585	0.652	0.0323145664566633	ISMARA- Nr6a1
1.33059329882895e-05	0.195825776131637	0.628	0.518	0.0332515265377353	ISMARA- Ezh2
1.36682683354872e-05	0.313165221771297	0.482	0.421	0.0341570025703826	ISMARA- Rad21
1.4102889508566e-05	0.204338784029679	0.648	0.569	0.0352431208819064	JASPAR2022-MA0682.1
1.41344330920328e-05	0.192996852659101	0.573	0.489	0.03532194829699	JASPAR2022-MA0080.3
1.44415004136332e-05	0.225881531253886	0.517	0.449	0.0360893095336694	JASPAR2022-MA1930.1
1.44495603353353e-05	0.184370687749478	0.471	0.394	0.036109451278003	PRDM9(Zf)/Testis-DMC1-ChIP-Seq(GSE35498)/Homer
1.52605846860653e-05	0.205345504432547	0.664	0.589	0.0381362011304771	Pitx1(Homeobox)/Chicken-Pitx1-ChIP-Seq(GSE38910)/Homer
1.66187387445297e-05	0.187523923123505	0.667	0.573	0.0415302281225797	JASPAR2022-MA1934.1
1.68832678421156e-05	0.229023898336264	0.206	0.169	0.0421912863374468	Foxa2(Forkhead)/Liver-Foxa2-ChIP-Seq(GSE25694)/Homer
