BADC_120h_rep1_(010925)	BADC_120h_rep2_(091025)	BADC_120h_rep3_(100825)	wt_120h_rep2_(091025)	wt_120h_rep1_(010925)	wt_120h_rep3_(100825)	BADC_120h_rep4_(180324)	BADC_120h_rep5_(230324)	wt_120h_rep5_(230324)	wt_120h_rep4_(Cynthia)
448.653370786517	673.08595505618	698.799438202247	480.222471910112	512.319101123595	527.529775280899	970.72875	839.16	649.8	825.350170648464
413.976404494382	443.383146067416	668.261797752809	822.308988764045	498.466853932584	492.383707865169	794.62625	579.96	726.36	862.455972696246
366.949438202247	622.025280898876	670.456741573034	775.424157303371	431.801123595506	668.870224719101	949.46	619.56	753.84	960.972013651877
486.847752808989	569.071348314607	558.477528089888	741.610674157303	525.937640449438	790.288764044944	715.995	651.48	732.6	885.284641638225
379.330337078652	557.53595505618	570.857303370786	706.756741573034	485.075280898876	678.902808988764	855.58125	587.88	634.8	903.453924914676
408.302808988764	432.169101123595	491.198314606742	683.579213483146	351.430898876405	611.63988764045	816.27875	611.88	685.2	757.862116040956
310.326404494382	461.187640449438	608.670224719101	628.135393258427	399.701123595506	619.71404494382	863.5375	699.72	603.72	848.918771331058
355.408988764045	457.869101123595	574.454494382023	627.361235955056	376.492696629214	651.608426966292	830.02875	531.84	628.92	739.083959044369
350.338202247191	520.974157303371	511.342134831461	684.446629213483	420.52191011236	701.105056179775	812.06625	646.2	663.6	848.537883959044
281.956179775281	553.32808988764	557.540449438202	641.62191011236	429.863483146067	576.654494382022	923.86625	756.96	761.52	969.40204778157
319.218539325843	514.761797752809	508.615168539326	792.817415730337	481.057865168539	564.11797752809	857.64625	604.2	714	743.949488054607
324.609550561798	542.83202247191	617.769662921348	655.683146067416	408.15	612.93595505618	751.3975	608.04	652.2	788.354948805461
271.028651685393	550.960112359551	728.744943820225	615.355056179775	431.054494382022	540.273595505618	856.9525	586.92	713.4	867.296928327645
355.212921348315	576.424157303371	479.817415730337	561.735393258427	475.48595505618	674.856179775281	825.97375	624.24	628.2	870.316723549488
