Ens_ID	ActA_wt_96h_rep1	ActA_wt_96h_rep2	ActA_BADC_96h_rep1	ActA_BADC_96h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_BADC_120h_rep1	ActA_BADC_120h_rep2
ENSMUSG00000000594	250	269	158	103	48	58	24	14
ENSMUSG00000000600	1072	1140	1074	721	571	539	723	683
ENSMUSG00000000605	964	1076	1175	719	577	533	684	588
ENSMUSG00000000606	0	0	0	0	0	0	0	0
ENSMUSG00000000617	92	129	85	44	12	14	22	14
ENSMUSG00000000627	294	310	353	273	17	10	13	18
ENSMUSG00000000628	2118	2291	1918	1593	655	616	1004	932
ENSMUSG00000000631	461	466	241	181	178	170	176	154
ENSMUSG00000000632	57	66	21	13	13	16	3	6
ENSMUSG00000000673	4	3	2	0	0	1	0	0
ENSMUSG00000000682	1	2	1	0	0	0	2	0
ENSMUSG00000000686	4	12	1	5	23	23	5	8
ENSMUSG00000000690	19	14	1	0	69	81	1	1
ENSMUSG00000000693	134	169	114	71	61	70	56	47
ENSMUSG00000000701	0	0	0	0	0	0	0	0
ENSMUSG00000000706	13	16	40	18	0	1	2	1
ENSMUSG00000000708	299	377	376	271	51	79	19	21
ENSMUSG00000000711	1351	1576	1220	814	618	598	750	703
ENSMUSG00000000724	0	0	0	0	0	2	0	0
ENSMUSG00000000730	37	36	2	3	7	6	0	0
ENSMUSG00000000731	7	5	1	0	6	13	0	0
ENSMUSG00000000732	143	178	75	48	44	41	12	14
ENSMUSG00000000738	1449	1594	1501	989	633	641	798	794
ENSMUSG00000000739	47	59	31	19	12	7	5	7
ENSMUSG00000000740	22229	24890	20959	14989	10335	10477	12678	11603
ENSMUSG00000000743	3008	3294	2617	1848	1166	1204	1223	1194
ENSMUSG00000000751	5811	6839	5729	4056	1432	1357	2071	1884
ENSMUSG00000000753	138	143	157	118	506	466	517	448
ENSMUSG00000000759	1113	1320	1314	926	765	699	769	862
ENSMUSG00000000766	0	0	0	0	0	0	0	0
ENSMUSG00000000776	776	954	720	463	459	459	614	610
ENSMUSG00000000782	4199	4684	4015	2777	651	621	1237	1126
ENSMUSG00000000787	28898	32637	42226	30694	6495	6199	14897	14241
ENSMUSG00000000791	56	50	40	23	5	8	5	5
ENSMUSG00000000792	371	449	321	217	8	9	11	5
ENSMUSG00000000794	19	16	10	9	61	63	121	108
ENSMUSG00000000804	923	1052	799	570	405	370	304	319
ENSMUSG00000000805	430	635	42	11	579	589	43	40
ENSMUSG00000000811	570	625	600	392	219	218	347	338
