"Pseudotime","Genotype","Motif_name","Score","P_value"
"(0.75,0.8]","wt","SpliceAcceptor/Homer",0.641,"1e-3"
"(0.75,0.8]","wt","tll/dmmpmm(Papatsenko)/fly",0.689,"1e-3"
"(0.75,0.8]","wt","PBX2/MA1113.3/Jaspar",0.792,"1e-3"
"(0.75,0.8]","wt","byn/dmmpmm(Pollard)/fly",0.722,"1e-3"
"(0.8,0.85]","BADC","fd59A/MA2232.1/Jaspar",0.907,"1e-20"
"(0.8,0.85]","BADC","Zic2/MA1629.2/Jaspar",0.953,"1e-16"
"(0.8,0.85]","BADC","FOXA1/MA0148.5/Jaspar",0.886,"1e-13"
"(0.8,0.85]","BADC","ceh-60/MA2162.1/Jaspar",0.893,"1e-12"
"(0.8,0.85]","BADC","hr3/MA2314.1/Jaspar",0.717,"1e-10"
"(0.8,0.85]","BADC","SRSF10(RRM)/Homo_sapiens-RNCMPT00019-PBM/HughesRNA",0.754,"1e-10"
"(0.8,0.85]","BADC","BRUNOL4(RRM)/Homo_sapiens-RNCMPT00004-PBM/HughesRNA",0.717,"1e-9"
"(0.8,0.85]","BADC","Tb_0253(RRM)/Trypanosoma_brucei-RNCMPT00253-PBM/HughesRNA",0.752,"1e-9"
"(0.8,0.85]","BADC","Hr78/MA2245.1/Jaspar",0.776,"1e-9"
"(0.8,0.85]","BADC","Hth/dmmpmm(Noyes_hd)/fly",0.75,"1e-8"
"(0.8,0.85]","BADC","kn/MA1841.2/Jaspar",0.742,"1e-8"
"(0.8,0.85]","BADC","AGL55/MA1202.1/Jaspar",0.65,"1e-8"
"(0.8,0.85]","BADC","TBF1/MA0403.3/Jaspar",0.732,"1e-8"
"(0.8,0.85]","BADC","twi/dmmpmm(Papatsenko)/fly",0.746,"1e-8"
"(0.8,0.85]","BADC","PB0119.1_Foxa2_2/Jaspar",0.733,"1e-7"
"(0.8,0.85]","BADC","odr-7/MA2149.1/Jaspar",0.714,"1e-5"
"(0.8,0.85]","BADC","che-1/MA0260.1/Jaspar",0.71,"1e-5"
"(0.8,0.85]","BADC","At1g25550(G2like)/colamp-At1g25550-DAP-Seq(GSE60143)/Homer",0.693,"1e-4"
"(0.8,0.85]","BADC","NAC007/MA2044.2/Jaspar",0.76,"1e-3"
"(0.8,0.85]","BADC","Stat2/MA1623.2/Jaspar",0.726,"1e-3"
"(0.8,0.85]","BADC","GRF4/MA1815.2/Jaspar",0.837,"1e-3"
"(0.8,0.85]","BADC","nhr-86/MA2146.1/Jaspar",0.747,"1e-3"
"(0.8,0.85]","BADC","RCS1/RCS1_H2O2Hi/35-RCS1",NA,"1e-1"
"(0.8,0.85]","wt","MEIS1/MA1639.2/Jaspar",0.921,"1e-39"
"(0.8,0.85]","wt","eve/dmmpmm(Noyes_hd)/fly",0.908,"1e-14"
"(0.8,0.85]","wt","fkh/MA0446.1/Jaspar",0.761,"1e-13"
"(0.8,0.85]","wt","pha-4/MA0546.1/Jaspar",0.876,"1e-11"
"(0.8,0.85]","wt","ZSCAN21/MA2336.1/Jaspar",0.787,"1e-10"
"(0.8,0.85]","wt","SpliceAcceptor/Homer",0.722,"1e-10"
"(0.8,0.85]","wt","ZNF331/MA1726.2/Jaspar",0.785,"1e-10"
"(0.8,0.85]","wt","AT4G12670(MYBrelated)/col-AT4G12670-DAP-Seq(GSE60143)/Homer",0.717,"1e-9"
"(0.8,0.85]","wt","TCFL2(HMG)/K562-TCF7L2-ChIP-Seq(GSE29196)/Homer",0.963,"1e-9"
"(0.8,0.85]","wt","DREB2A/MA1258.2/Jaspar",0.709,"1e-8"
"(0.8,0.85]","wt","Foxf1(Forkhead)/Lung-Foxf1-ChIP-Seq(GSE77951)/Homer",0.746,"1e-8"
"(0.8,0.85]","wt","tbx-38/MA2186.1/Jaspar",0.792,"1e-7"
"(0.8,0.85]","wt","Eip74EF/dmmpmm(SeSiMCMC)/fly",0.702,"1e-7"
"(0.8,0.85]","wt","fkh-9/MA1440.1/Jaspar",0.815,"1e-6"
"(0.8,0.85]","wt","PB0118.1_Esrra_2/Jaspar",0.712,"1e-6"
"(0.8,0.85]","wt","TCF21/MA1568.2/Jaspar",0.866,"1e-5"
"(0.8,0.85]","wt","PABPC5(RRM)/Homo_sapiens-RNCMPT00171-PBM/HughesRNA",0.727,"1e-5"
"(0.8,0.85]","wt","Nv_0278(RRM)/Nematostella_vectensis-RNCMPT00278-PBM/HughesRNA",0.701,"1e-5"
"(0.8,0.85]","wt","Pho2(bHLH)/Yeast-Pho2-ChIP-Seq(GSE29506)/Homer",0.873,"1e-3"
"(0.8,0.85]","wt","BtbVII/MA2297.1/Jaspar",0.769,"1e-3"
"(0.8,0.85]","wt","PCBP1(KH)/Mus_musculus-RNCMPT00239-PBM/HughesRNA",0.715,"1e-2"
"(0.8,0.85]","wt","REI1/MA0364.1/Jaspar",0.708,"1e-1"
"(0.85,0.9]","BADC","TWIST1/MA1123.3/Jaspar",0.945,"1e-24"
"(0.85,0.9]","BADC","Hr78/MA2245.1/Jaspar",0.941,"1e-15"
"(0.85,0.9]","BADC","Ets1-distal(ETS)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer",0.943,"1e-14"
"(0.85,0.9]","BADC","fd59A/MA2232.1/Jaspar",0.865,"1e-14"
"(0.85,0.9]","BADC","ara/dmmpmm(Noyes_hd)/fly",0.701,"1e-12"
"(0.85,0.9]","BADC","Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)/Homer",0.781,"1e-9"
"(0.85,0.9]","BADC","RIM101/Literature(Harbison)/Yeast",0.735,"1e-9"
"(0.85,0.9]","BADC","ESRRB/MA0141.4/Jaspar",0.745,"1e-8"
"(0.85,0.9]","BADC","cad/dmmpmm(Down)/fly",0.806,"1e-7"
"(0.85,0.9]","BADC","PABPC3(RRM)/Homo_sapiens-RNCMPT00153-PBM/HughesRNA",0.789,"1e-4"
"(0.85,0.9]","BADC","bab1/dmmpmm(Pollard)/fly",0.774,"1e-4"
"(0.85,0.9]","BADC","PCBP2(KH)/Homo_sapiens-RNCMPT00044-PBM/HughesRNA",0.721,"1e-1"
"(0.85,0.9]","wt","HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)/Homer",0.931,"1e-42"
"(0.85,0.9]","wt","BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)/Homer",0.867,"1e-15"
"(0.85,0.9]","wt","PABPC3(RRM)/Homo_sapiens-RNCMPT00153-PBM/HughesRNA",0.857,"1e-12"
"(0.85,0.9]","wt","egl-27/MA2164.1/Jaspar",0.722,"1e-11"
"(0.85,0.9]","wt","RXR(NR),DR1/3T3L1-RXR-ChIP-Seq(GSE13511)/Homer",0.692,"1e-10"
"(0.85,0.9]","wt","abd-A/dmmpmm(Down)/fly",0.74,"1e-10"
"(0.85,0.9]","wt","Ebf4/MA2122.1/Jaspar",0.816,"1e-10"
"(0.85,0.9]","wt","ANL2(HB)/col-ANL2-DAP-Seq(GSE60143)/Homer",0.842,"1e-9"
"(0.85,0.9]","wt","Vdr/MA0693.4/Jaspar",0.716,"1e-8"
"(0.85,0.9]","wt","Nr2f6/MA0677.2/Jaspar",0.866,"1e-8"
"(0.85,0.9]","wt","AT3G10030/MA1662.2/Jaspar",0.768,"1e-8"
"(0.85,0.9]","wt","Deaf1/MA0185.2/Jaspar",0.755,"1e-8"
"(0.85,0.9]","wt","Tup/dmmpmm(Noyes_hd)/fly",0.809,"1e-8"
"(0.85,0.9]","wt","Ebf2/MA1604.2/Jaspar",0.709,"1e-7"
"(0.85,0.9]","wt","MET28/MA0332.1/Jaspar",0.778,"1e-7"
"(0.85,0.9]","wt","Msgn1/MA1524.3/Jaspar",0.707,"1e-7"
"(0.85,0.9]","wt","SPL11(SBP)/col100-SPL11-DAP-Seq(GSE60143)/Homer",0.717,"1e-7"
"(0.85,0.9]","wt","PB0133.1_Hic1_2/Jaspar",0.749,"1e-7"
"(0.85,0.9]","wt","tin/dmmpmm(Pollard)/fly",0.728,"1e-7"
"(0.85,0.9]","wt","Hand1/MA2123.1/Jaspar",0.708,"1e-6"
"(0.85,0.9]","wt","CG8319/MA2300.1/Jaspar",0.796,"1e-6"
"(0.85,0.9]","wt","Vdr/MA0693.4/Jaspar",0.742,"1e-6"
"(0.85,0.9]","wt","atfs-1/MA2157.1/Jaspar",0.789,"1e-6"
"(0.85,0.9]","wt","Prdm15/MA1616.2/Jaspar",0.734,"1e-5"
"(0.85,0.9]","wt","p53(p53)/mES-cMyc-ChIP-Seq(GSE11431)/Homer",0.672,"1e-5"
"(0.85,0.9]","wt","ZNF148/MA1653.2/Jaspar",0.866,"1e-4"
"(0.85,0.9]","wt","Ap4(bHLH)/AML-Tfap4-ChIP-Seq(GSE45738)/Homer",0.725,"1e-4"
