"Pseudotime","Genotype","Motif_name","Score","P_value"
"(0.55,0.6]","BADC","QKR58E-1(KH)/Drosophila_melanogaster-RNCMPT00142-PBM/HughesRNA",0.705,"1e-10"
"(0.55,0.6]","BADC","Sox11/MA0869.3/Jaspar",0.66,"1e-10"
"(0.55,0.6]","BADC","SeqBias: GA-repeat",0.688,"1e-10"
"(0.55,0.6]","BADC","Hoxd9(Homeobox)/EB-Hoxd9.HA-ChIP-Seq(GSE142377)/Homer",0.79,"1e-9"
"(0.55,0.6]","BADC","hlh-1/MA0545.2/Jaspar",0.827,"1e-8"
"(0.55,0.6]","BADC","Gli1/MA1990.2/Jaspar",0.645,"1e-8"
"(0.55,0.6]","BADC","STB4/MA0391.1/Jaspar",0.746,"1e-7"
"(0.55,0.6]","BADC","MATA1",NA,"1e-7"
"(0.55,0.6]","BADC","AGL55/MA1202.1/Jaspar",0.698,"1e-6"
"(0.55,0.6]","BADC","Tb_0251(RRM)/Trypanosoma_brucei-RNCMPT00251-PBM/HughesRNA",0.741,"1e-6"
"(0.55,0.6]","wt","vvl/dmmpmm(Bigfoot)/fly",0.673,"1e-67"
"(0.55,0.6]","wt","Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)/Homer",0.924,"1e-65"
"(0.55,0.6]","wt","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.814,"1e-58"
"(0.55,0.6]","wt","ZNF770/MA2099.1/Jaspar",0.713,"1e-56"
"(0.55,0.6]","wt","LIN28A(CSD)/Homo_sapiens-RNCMPT00162-PBM/HughesRNA",0.706,"1e-50"
"(0.55,0.6]","wt","SRSF1(RRM)/Homo_sapiens-RNCMPT00110-PBM/HughesRNA",0.672,"1e-47"
"(0.55,0.6]","wt","elt-7/MA2133.1/Jaspar",0.747,"1e-47"
"(0.55,0.6]","wt","PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer",0.73,"1e-46"
"(0.55,0.6]","wt","GSM1/MA0308.2/Jaspar",0.754,"1e-45"
"(0.55,0.6]","wt","ERF::HOXB13/MA1937.2/Jaspar",0.761,"1e-44"
"(0.55,0.6]","wt","FEZF2/MA2341.1/Jaspar",0.798,"1e-42"
"(0.55,0.6]","wt","ZNF410/MA0752.2/Jaspar",0.652,"1e-41"
"(0.55,0.6]","wt","MEIS2/MA0774.1/Jaspar",0.795,"1e-37"
