Ens_ID	wt_120h_rep1	wt_120h_rep2	ActA_wt_120h_rep1	ActA_wt_120h_rep2	ActA_wt_96h_rep1	ActA_wt_96h_rep2	wt_96h_rep1	wt_96h_rep2
ENSMUSG00000000594	75	41	48	58	250	269	143	228
ENSMUSG00000000600	735	686	571	539	1072	1140	1151	1402
ENSMUSG00000000605	635	501	577	533	964	1076	710	1010
ENSMUSG00000000606	0	0	0	0	0	0	0	0
ENSMUSG00000000617	4	6	12	14	92	129	5	16
ENSMUSG00000000627	40	30	17	10	294	310	218	399
ENSMUSG00000000628	668	634	655	616	2118	2291	1816	2473
ENSMUSG00000000631	293	180	178	170	461	466	372	509
ENSMUSG00000000632	0	1	13	16	57	66	8	18
ENSMUSG00000000673	1	0	0	1	4	3	6	4
ENSMUSG00000000682	0	0	0	0	1	2	1	3
ENSMUSG00000000686	19	23	23	23	4	12	67	112
ENSMUSG00000000690	355	284	69	81	19	14	567	885
ENSMUSG00000000693	31	31	61	70	134	169	46	53
ENSMUSG00000000701	0	0	0	0	0	0	0	0
ENSMUSG00000000706	2	1	0	1	13	16	1	11
ENSMUSG00000000708	122	91	51	79	299	377	101	148
ENSMUSG00000000711	906	705	618	598	1351	1576	1352	1726
ENSMUSG00000000724	0	0	0	2	0	0	1	0
ENSMUSG00000000730	60	62	7	6	37	36	90	222
ENSMUSG00000000731	9	12	6	13	7	5	5	14
ENSMUSG00000000732	56	30	44	41	143	178	41	107
ENSMUSG00000000738	762	677	633	641	1449	1594	1106	1731
ENSMUSG00000000739	6	2	12	7	47	59	24	32
ENSMUSG00000000740	12006	9178	10335	10477	22229	24890	19869	31473
ENSMUSG00000000743	1339	1035	1166	1204	3008	3294	1923	2880
ENSMUSG00000000751	2175	1845	1432	1357	5811	6839	5019	7405
ENSMUSG00000000753	377	255	506	466	138	143	85	140
ENSMUSG00000000759	972	807	765	699	1113	1320	1661	2313
ENSMUSG00000000766	0	0	0	0	0	0	0	1
ENSMUSG00000000776	502	469	459	459	776	954	897	1310
ENSMUSG00000000782	902	732	651	621	4199	4684	3771	5329
ENSMUSG00000000787	10074	8647	6495	6199	28898	32637	26512	33826
ENSMUSG00000000791	0	1	5	8	56	50	1	7
ENSMUSG00000000792	18	16	8	9	371	449	26	39
ENSMUSG00000000794	43	33	61	63	19	16	100	93
ENSMUSG00000000804	399	341	405	370	923	1052	761	1009
ENSMUSG00000000805	29	43	579	589	430	635	18	32
ENSMUSG00000000811	283	222	219	218	570	625	816	1237
ENSMUSG00000000817	1	1	1	2	5	16	1	6
ENSMUSG00000000823	1032	873	1388	1370	1758	1934	915	1252
ENSMUSG00000000826	1753	1402	1386	1289	4037	4466	3895	5679
ENSMUSG00000000827	1730	1372	1319	1414	2082	2345	1656	2386
ENSMUSG00000000838	1092	864	827	824	2098	2293	2157	2699
ENSMUSG00000000861	5	3	13	19	256	306	10	16
ENSMUSG00000000869	0	0	0	0	2	3	0	0
ENSMUSG00000000876	139	133	99	96	424	490	282	430
ENSMUSG00000000881	1068	823	697	802	1537	1751	2291	3047
ENSMUSG00000000884	152	129	127	129	267	256	197	410
ENSMUSG00000000889	1	1	2	2	1	2	0	6
ENSMUSG00000000901	429	309	521	503	495	623	473	624
ENSMUSG00000000902	1833	1495	1387	1365	3361	3860	2801	4145
ENSMUSG00000000903	0	0	1	2	7	11	1	0
ENSMUSG00000000915	233	188	211	200	535	609	415	659
ENSMUSG00000000916	456	390	365	342	588	680	652	977
ENSMUSG00000000934	23	20	26	35	88	113	77	118
ENSMUSG00000000938	278	256	90	104	7	10	20	27
ENSMUSG00000000942	171	126	66	76	157	155	495	654
ENSMUSG00000000957	249	221	689	708	1312	1497	623	846
ENSMUSG00000000958	158	148	584	551	3786	4503	427	800
ENSMUSG00000000959	1446	1149	1013	1032	3477	3714	3874	5219
ENSMUSG00000000976	616	573	501	504	810	968	961	1241
ENSMUSG00000000982	1	1	0	0	0	1	0	0
ENSMUSG00000000983	0	0	0	0	0	0	0	0
ENSMUSG00000001014	1	0	2	0	9	12	4	4
ENSMUSG00000001016	4607	3741	2934	2967	5947	6940	5959	8423
ENSMUSG00000001017	3244	2616	2361	2258	5218	5799	4890	6877
ENSMUSG00000001018	364	289	327	321	925	1051	756	1000
ENSMUSG00000001020	0	0	0	0	0	0	1	2
ENSMUSG00000001021	1	3	5	3	0	1	18	22
ENSMUSG00000001023	0	0	0	0	0	0	0	0
ENSMUSG00000001025	3	1	6	5	11	20	8	14
ENSMUSG00000001027	1	1	9	10	12	15	1	8
ENSMUSG00000001029	1	0	5	1	1	3	1	1
ENSMUSG00000001034	1130	896	1117	1110	1961	2278	1921	2663
ENSMUSG00000001036	796	646	804	800	1820	2169	1422	1983
ENSMUSG00000001039	593	464	532	566	1081	1229	592	903
ENSMUSG00000001052	1124	836	783	783	1733	2073	2005	2586
ENSMUSG00000001053	111	95	116	147	342	372	253	448
ENSMUSG00000001054	241	206	270	241	523	581	326	528
ENSMUSG00000001056	1734	1209	1265	1347	3441	4040	2654	4437
ENSMUSG00000001062	482	406	375	394	342	357	407	528
ENSMUSG00000001065	284	279	288	259	242	266	315	395
ENSMUSG00000001076	6	2	8	10	17	28	14	16
ENSMUSG00000001082	694	623	986	917	2464	2763	1524	2302
ENSMUSG00000001089	1394	1094	820	783	1802	2070	2210	3020
ENSMUSG00000001095	0	0	0	0	0	2	0	3
ENSMUSG00000001098	985	799	1029	1016	2350	2729	1854	2740
ENSMUSG00000001100	1737	1384	1335	1241	2496	2853	3037	4291
ENSMUSG00000001103	1	0	1	2	0	1	1	0
ENSMUSG00000001105	341	257	242	267	445	563	274	436
ENSMUSG00000001119	9	0	24	21	23	41	20	29
ENSMUSG00000001120	267	257	241	194	845	931	745	1054
ENSMUSG00000001123	13	12	21	25	67	88	7	18
ENSMUSG00000001127	1438	1201	1485	1349	2313	2557	1575	2175
ENSMUSG00000001128	214	182	215	173	156	181	102	171
ENSMUSG00000001131	26	32	30	31	105	105	41	68
ENSMUSG00000001134	295	254	246	267	628	794	486	651
ENSMUSG00000001138	739	575	496	483	1142	1282	816	1168
ENSMUSG00000001143	646	582	521	514	1151	1277	845	1243
ENSMUSG00000001150	988	845	759	732	2123	2457	2367	3531
ENSMUSG00000001151	829	557	583	556	1230	1306	1388	1756
ENSMUSG00000001155	0	0	3	0	2	0	3	2
ENSMUSG00000001156	152	135	102	129	170	166	194	230
ENSMUSG00000001157	476	313	289	243	751	807	602	892
ENSMUSG00000001158	530	444	377	393	1044	1267	761	1029
ENSMUSG00000001166	6	3	17	11	129	146	39	46
ENSMUSG00000001168	0	0	0	0	0	0	0	0
ENSMUSG00000001173	509	398	349	347	1052	1226	1077	1401
ENSMUSG00000001175	4704	3629	4243	4247	11225	13628	7008	9909
ENSMUSG00000001211	606	431	686	671	2904	3390	870	1305
ENSMUSG00000001225	0	0	0	0	1	3	0	0
ENSMUSG00000001227	20	8	11	18	57	73	28	37
ENSMUSG00000001228	4394	3729	2843	2813	8211	9292	10972	16074
ENSMUSG00000001229	1063	930	882	934	1967	2226	1822	2768
ENSMUSG00000001240	160	96	170	171	173	222	87	106
ENSMUSG00000001247	718	615	994	955	3628	4284	2091	3178
ENSMUSG00000001248	830	714	909	859	826	882	521	833
ENSMUSG00000001249	16	8	54	40	204	276	32	71
ENSMUSG00000001260	0	2	22	13	0	3	5	0
ENSMUSG00000001270	177	153	273	267	645	751	302	503
ENSMUSG00000001280	1496	1227	1283	1217	3629	4053	3875	5108
ENSMUSG00000001281	7	4	6	17	24	43	11	24
ENSMUSG00000001285	793	658	634	624	1061	1316	1003	1489
ENSMUSG00000001288	1414	1186	437	430	1487	1674	3045	4692
ENSMUSG00000001289	1915	1366	1482	1432	1773	2202	1509	2201
ENSMUSG00000001300	1709	1166	864	845	773	892	1611	1134
ENSMUSG00000001305	621	436	383	403	956	1155	848	1182
ENSMUSG00000001313	257	201	297	353	706	828	385	602
ENSMUSG00000001323	147	122	94	68	165	150	198	247
ENSMUSG00000001333	1	4	1	0	15	11	6	5
ENSMUSG00000001334	158	100	108	97	196	191	109	144
ENSMUSG00000001348	15	6	10	12	117	87	22	40
ENSMUSG00000001349	3	2	11	11	55	50	8	10
ENSMUSG00000001366	235	199	164	143	470	499	282	464
ENSMUSG00000001376	627	464	415	392	775	915	664	999
ENSMUSG00000001380	980	739	645	644	2181	2479	2046	2808
ENSMUSG00000001383	1751	1282	1095	1113	3385	3947	2989	4120
ENSMUSG00000001403	2719	2145	1642	1571	5455	6190	4914	7143
ENSMUSG00000001415	2954	2395	2493	2553	4879	5680	5157	7521
ENSMUSG00000001416	7901	6488	5337	5325	13706	16624	12903	20054
ENSMUSG00000001418	609	453	447	421	1665	1797	1203	1997
ENSMUSG00000001419	706	588	753	736	1513	1652	1291	1556
ENSMUSG00000001420	62	46	72	85	228	239	103	160
ENSMUSG00000001424	1819	1541	1582	1498	5280	6175	5543	7724
ENSMUSG00000001435	2716	2107	1822	1872	3612	4329	3175	5022
ENSMUSG00000001436	564	443	575	554	717	787	690	1057
ENSMUSG00000001440	8746	7000	6320	6230	21156	23179	22231	30323
ENSMUSG00000001441	1477	1202	1187	1182	3208	3707	2423	3338
