p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
0.0310629309961025	2.79304426563161	0.01	0.002	1	Igsf23	other
0.0310812112965993	0.308699630431916	0.158	0.112	1	Eci1	other
0.0311027128700985	0.229809844479151	0.505	0.455	1	Cycs	other
0.031142868785472	0.468999554471834	0.176	0.133	1	Rbm18	other
0.0311649050729909	2.40379027841426	0.01	0.002	1	D930036K23Rik	other
0.0311649050729909	2.29181635578632	0.01	0.002	1	Gm30108	other
0.0311649050729909	2.39022982854069	0.01	0.002	1	1700010I14Rik	other
0.0311796533830857	1.46466544600222	0.023	0.009	1	Gm48138	other
0.0311871703179129	0.899349478194293	0.044	0.023	1	Mbp	other
0.0311910884284575	0.15915796303713	0.663	0.599	1	Sfxn1	other
0.031230911789737	0.298715962207389	0.456	0.4	1	Resf1	other
0.031267166294454	2.31256450990023	0.01	0.002	1	Ak5	other
0.031267166294454	2.46080336561258	0.01	0.002	1	Rdh12	other
0.0312702295870509	-0.317856387121777	0.373	0.417	1	Gm5905	other
0.0312992389649037	0.504138445691801	0.122	0.083	1	Lxn	other
0.0313104478902382	-0.761746724925329	0.062	0.098	1	Gm44829	other
0.0313154981305852	-0.251857043366094	0.661	0.681	1	Add3	other
0.0313697152944467	2.12929539892296	0.01	0.002	1	Gm16153	other
0.0313697152944467	1.8481959345522	0.01	0.002	1	Gm49686	other
0.0313697152944467	1.86122582273912	0.01	0.002	1	Gm9134	other
0.0314215821338699	0.486832252546702	0.067	0.039	1	Apela	other
0.0314725527077266	1.92072998531423	0.01	0.002	1	Bmp2	other
