p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci
1.93465525609723e-12	1.03594694877652	0.703	0.415	6.30523494514649e-08	Tubb2b	other
1.97853929961722e-12	-0.271567422497369	1	1	6.44825743138248e-08	Rpl35	other
3.25986775565903e-12	3.9437617694342	0.135	0.005	1.06242350024683e-07	Mid1	other
3.47748276674464e-12	-0.168948464338596	1	1	1.13334640850974e-07	Rpl32	other
4.54902377610899e-12	-0.546566616357533	0.974	0.983	1.48257233887168e-07	Bsg	other
1.36561087880683e-11	2.55774261031337	0.172	0.02	4.45066241511935e-07	Clstn2	other
1.49274994279205e-11	0.5117330924112	0.984	0.925	4.86502133855356e-07	Marcks	other
1.64009254399695e-11	-0.2095540200147	1	1	5.34522561014047e-07	Rpl12	other
2.34771260892344e-11	0.443226124210687	0.995	0.983	7.65143016374238e-07	Ppib	other
2.54026901249682e-11	0.217157363968668	1	1	8.2789907386284e-07	Ptma	other
3.99066431258973e-11	4.87663334769067	0.115	0.002	1.30059740611612e-06	Hoxc4	HoxABCD
8.96754096947519e-11	-0.524613803517368	0.927	0.955	2.92261127736166e-06	Csnk1a1	other
1.68494063197196e-10	5.61131084277989	0.099	0	5.49139001365983e-06	Hoxa4	HoxABCD
2.32170856159419e-10	-0.208608280207446	1	1	7.56668037309162e-06	Rpl36a	other
3.1456076100159e-10	-0.220774579615289	1	1	1.02518497618028e-05	Rpl6	other
3.50751455298968e-10	0.795594207355272	0.781	0.515	1.14313406796487e-05	Auts2	other
3.57180497908326e-10	0.456451240227111	0.943	0.83	1.16408696073302e-05	Lsm6	other
4.43289456824156e-10	0.404413148324982	0.99	0.948	1.44472466873561e-05	Sec61b	other
5.23484143597085e-10	5.55834601649433	0.094	0	1.70608717239726e-05	Hoxaas2	HoxABCD
1.01129290243758e-09	1.36986047115281	0.312	0.102	3.2959046983343e-05	Ephb1	other
1.1403658868332e-09	-0.17574181283663	1	1	3.71656646177807e-05	Tpt1	other
1.46860344061151e-09	-1.85490983228241	0.151	0.38	4.78632547329698e-05	Cdx1	other
2.00870019189246e-09	-0.57210808901296	0.938	0.96	6.54655479539673e-05	Kcnq1ot1	other
2.09035895847855e-09	-0.156911983311616	1	1	6.81268888157744e-05	Rps18	other
2.11283186249634e-09	0.55458065188388	0.891	0.733	6.88593032306184e-05	Meox1	other
2.58523439336505e-09	-0.144949677467854	1	1	8.42553741141603e-05	Rps8	other
