"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Aldh1a2",0,2.90234079360621,0.782,0.191,0,"0","Aldh1a2"
"Msgn1",0,3.1512418085814,0.672,0.096,0,"0","Msgn1"
"Tbx6",0,3.04931952858177,0.666,0.112,0,"0","Tbx6"
"Cited1",0,2.66833364381763,0.869,0.331,0,"0","Cited1"
"Pcdh19",0,1.83768773235258,0.737,0.224,0,"0","Pcdh19"
"Dll1",0,2.00220947769859,0.78,0.271,0,"0","Dll1"
"Gm45889",0,1.44967249644246,0.952,0.446,0,"0","Gm45889"
"Rnf213",0,2.81288336633569,0.598,0.119,0,"0","Rnf213"
"Rspo3",0,1.74833205906861,0.94,0.467,0,"0","Rspo3"
"Plxna2",0,2.6070590432608,0.643,0.175,0,"0","Plxna2"
"Hes7",0,1.63450334760426,0.724,0.281,0,"0","Hes7"
"Crabp1",0,1.39253976910279,0.774,0.363,0,"0","Crabp1"
"Fn1",0,1.95118498956558,0.932,0.537,0,"0","Fn1"
"Lmo2",0,2.64072532067084,0.512,0.132,0,"0","Lmo2"
"Pcolce2",0,2.69941682564342,0.414,0.1,0,"0","Pcolce2"
"Lef1",0,1.22391004110478,0.932,0.66,0,"0","Lef1"
"Rbp1",0,1.15667877706504,0.924,0.664,0,"0","Rbp1"
"Gpc3",0,1.1797281604782,0.958,0.721,0,"0","Gpc3"
"Ifitm1",0,1.88733101652559,0.998,0.806,0,"0","Ifitm1"
"Kcnk3",0,3.32313511768205,0.211,0.024,0,"0","Kcnk3"
"Prtg",0,1.04808474856943,0.939,0.813,0,"0","Prtg"
"Ifitm2",0,0.752951779835688,0.994,0.963,0,"0","Ifitm2"
"Cdx1",3.62827016330594e-305,1.28756509496625,0.833,0.473,1.18248952892304e-300,"0","Cdx1"
"Frzb",1.97436177894663e-294,2.51966463866268,0.33,0.074,6.43464247376496e-290,"0","Frzb"
"Fabp7",3.68787455958622e-286,2.16944658059718,0.389,0.105,1.20191519771474e-281,"0","Fabp7"
"Rftn1",8.66258713011457e-268,2.10403507747566,0.388,0.11,2.82322377157564e-263,"0","Rftn1"
"Mesp1",1.3014868035795e-252,2.20973951552383,0.348,0.092,4.24167564154594e-248,"0","Mesp1"
"Dpysl5",4.40399476016786e-237,1.68568105348546,0.523,0.222,1.43530593228631e-232,"0","Dpysl5"
"Meis2",2.09788084878013e-229,0.825921765275597,0.922,0.663,6.83720347425931e-225,"0","Meis2"
"Smc6",3.92884233525247e-224,0.910712803207135,0.912,0.807,1.28044900548213e-219,"0","Smc6"
"Cited2",2.20762655987268e-223,1.0706455567356,0.903,0.794,7.19487572128106e-219,"0","Cited2"
"Pik3c2b",2.06131968465155e-220,2.38931788224017,0.275,0.066,6.71804698424788e-216,"0","Pik3c2b"
"Peli3",2.57162879376472e-211,2.17947908974223,0.276,0.068,8.38119540175859e-207,"0","Peli3"
"Mogat2",3.91193535101077e-210,1.76251030397661,0.446,0.173,1.27493885024792e-205,"0","Mogat2"
"Nkd2",8.61867740896815e-194,2.03181303828416,0.328,0.103,2.80891315435681e-189,"0","Nkd2"
"Rab8b",1.12801022066979e-185,1.25893353190845,0.572,0.282,3.67629811018492e-181,"0","Rab8b"
"Dll3",5.5929590686442e-175,1.42375539969954,0.504,0.233,1.82280129006183e-170,"0","Dll3"
"Phlda2",1.06379478115146e-172,2.40234225760878,0.262,0.075,3.46701357125072e-168,"0","Phlda2"
"Pdlim4",2.28756162304214e-171,1.84296370280716,0.376,0.144,7.45539208565664e-167,"0","Pdlim4"
"Dock11",3.5568341773641e-167,1.38299614319942,0.562,0.312,1.15920782674473e-162,"0","Dock11"
"Itpk1",6.09257067187399e-167,2.00437607613066,0.339,0.125,1.98562970767045e-162,"0","Itpk1"
"Notch1",7.62823679347828e-165,0.827971592316018,0.718,0.424,2.48611865336251e-160,"0","Notch1"
"Aplnr",2.89111055793272e-164,1.87272834904394,0.261,0.074,9.42241841935853e-160,"0","Aplnr"
"Lhx1",2.73817304059621e-162,1.533094704964,0.357,0.13,8.9239797566071e-158,"0","Lhx1"
"Pdzrn3",4.26254898938632e-155,1.66581347412218,0.345,0.129,1.3892073411309e-150,"0","Pdzrn3"
"Greb1l",3.66587242250988e-152,1.24930569655675,0.576,0.324,1.1947444812202e-147,"0","Greb1l"
"Inka1",1.40779044196424e-150,1.25640237810042,0.416,0.171,4.58812982940567e-146,"0","Inka1"
"Rtn1",1.01140294075254e-149,1.69047163361609,0.414,0.188,3.29626332420659e-145,"0","Rtn1"
"Lrig3",1.04605820060098e-149,1.31534211385869,0.504,0.257,3.40920828157867e-145,"0","Lrig3"
"Peg3",1.85009934043151e-149,0.697235728915995,0.981,0.938,6.02965876040032e-145,"0","Peg3"
"Dact1",3.6008780114327e-144,1.31603710724166,0.442,0.2,1.17356215270603e-139,"0","Dact1"
"Synm",1.10287463790849e-141,1.68863404717109,0.298,0.105,3.59437873240757e-137,"0","Synm"
"Cbr3",2.78405116089548e-138,1.75951799514094,0.299,0.109,9.07350113847444e-134,"0","Cbr3"
"Ptgds",4.44937421819015e-135,1.08376097662571,0.276,0.09,1.45009555145035e-130,"0","Ptgds"
"Ypel3",8.44888992958794e-131,1.14150591261368,0.565,0.331,2.753577716952e-126,"0","Ypel3"
"Gbx2",6.89007752531842e-130,1.15733901615846,0.529,0.295,2.24554516627653e-125,"0","Gbx2"
"Id1",5.93579379234182e-124,1.27439773390732,0.525,0.3,1.93453455486212e-119,"0","Id1"
"Ddit4",1.0261658822197e-123,0.917704278995633,0.673,0.437,3.34437722674221e-119,"0","Ddit4"
"Epha4",2.04704753954023e-123,0.989433343379716,0.568,0.33,6.67153263611556e-119,"0","Epha4"
"Tnfrsf19",1.19592073821981e-113,1.24285451933231,0.484,0.279,3.89762527793217e-109,"0","Tnfrsf19"
"Pdlim5",2.0443371139099e-110,1.51072012247916,0.328,0.145,6.66269908794377e-106,"0","Pdlim5"
"Sp5",1.02322997745261e-108,0.952740642967993,0.563,0.332,3.33480881951579e-104,"0","Sp5"
"Exoc6b",6.4526784485496e-107,1.54010749332244,0.354,0.169,2.1029924331668e-102,"0","Exoc6b"
"Cachd1",6.62988486072258e-107,1.15057360361229,0.518,0.327,2.1607457749581e-102,"0","Cachd1"
"Igfbp4",9.74516965216451e-104,1.28181633699125,0.381,0.187,3.17604824133694e-99,"0","Igfbp4"
"Septin8",1.53446811705037e-103,1.51844102171196,0.309,0.135,5.00098504027888e-99,"0","Septin8"
"Epb41l2",2.70410778193533e-101,0.938286037668793,0.624,0.444,8.81295767210544e-97,"0","Epb41l2"
"Aldh2",2.08185342032999e-99,0.659015992321277,0.787,0.607,6.78496848219748e-95,"0","Aldh2"
"Maml3",7.85328464577598e-98,0.922485663765291,0.555,0.346,2.55946399890485e-93,"0","Maml3"
"Foxb1",2.53672009854553e-97,0.871068271513803,0.616,0.418,8.26742447316974e-93,"0","Foxb1"
"Timm50",1.12996219790844e-96,0.656332630549852,0.801,0.683,3.68265979920339e-92,"0","Timm50"
"Ctsl",2.55162431684893e-95,0.610459932746016,0.916,0.856,8.31599881104234e-91,"0","Ctsl"
"Pea15a",1.6907614644574e-93,1.18895305034525,0.435,0.249,5.51036068881311e-89,"0","Pea15a"
"Dach1",1.07410958966976e-86,1.0811666886772,0.379,0.195,3.50063056369272e-82,"0","Dach1"
"Itgb5",2.28215128651401e-86,1.1885475472753,0.382,0.207,7.43775925787782e-82,"0","Itgb5"
"C130089K02Rik",2.44975784459601e-85,1.01569597344916,0.447,0.258,7.98400579132286e-81,"0","C130089K02Rik"
"Tm9sf4",1.59864073981243e-84,0.853519521868029,0.593,0.416,5.2101300351227e-80,"0","Tm9sf4"
"Tenm4",3.40472155634067e-84,0.839636578851955,0.538,0.338,1.10963280242699e-79,"0","Tenm4"
"Nrarp",4.75118339476034e-84,0.980210325662137,0.446,0.257,1.54845818018634e-79,"0","Nrarp"
"Foxh1",1.95137931236456e-83,0.986399427289082,0.463,0.274,6.35974031692733e-79,"0","Foxh1"
"Zfpm1",1.16229297042462e-82,1.46145867603999,0.233,0.095,3.78802901991088e-78,"0","Zfpm1"
"Fgfr1",1.22671047632501e-81,0.674248220692745,0.699,0.551,3.99797211339085e-77,"0","Fgfr1"
"Lama1",1.15295588995518e-79,1.20663656329137,0.288,0.132,3.75759854095293e-75,"0","Lama1"
"Foxc1",3.23126674949589e-79,0.682379002215301,0.566,0.345,1.0531021463282e-74,"0","Foxc1"
"Chst7",8.50062169996379e-77,1.36803434273848,0.258,0.116,2.7704376182352e-72,"0","Chst7"
"Sh3bp1",1.93712076326648e-76,1.41298975926781,0.243,0.107,6.31327027956178e-72,"0","Sh3bp1"
"Fjx1",7.27864726996611e-76,1.22066765583895,0.378,0.217,2.37218393175466e-71,"0","Fjx1"
"Slit3",2.95965960244632e-75,1.28321034356267,0.296,0.146,9.64582661033279e-71,"0","Slit3"
"S100a11",4.19239878352131e-75,0.772563726677054,0.64,0.491,1.36634468753743e-70,"0","S100a11"
"Sfxn1",6.66299056291325e-75,0.566859503737056,0.798,0.695,2.17153525435906e-70,"0","Sfxn1"
"Arhgap28",1.09972745877022e-72,0.886681796280421,0.461,0.28,3.58412176087801e-68,"0","Arhgap28"
"Ajap1",1.80806982186571e-70,1.36543337081815,0.2,0.08,5.89268035644252e-66,"0","Ajap1"
"Snai1",2.86543032279849e-69,1.35431331091109,0.237,0.106,9.33872396503257e-65,"0","Snai1"
"Gpc6",3.30623330465993e-69,1.04655459141221,0.416,0.257,1.07753449632172e-64,"0","Gpc6"
"Lrp8",2.18878744372569e-68,1.01594071670328,0.408,0.248,7.1334771578464e-64,"0","Lrp8"
"Fgf3",3.47920816831959e-68,1.11562227384893,0.249,0.111,1.13390873413704e-63,"0","Fgf3"
"Car3",6.14167584959808e-67,1.47109421518864,0.205,0.086,2.00163357614251e-62,"0","Car3"
"Nkd1",7.15963663488004e-67,1.17665882392145,0.409,0.261,2.33339717567375e-62,"0","Nkd1"
"Rel",1.49586272937581e-66,1.44608801495722,0.221,0.098,4.87516622130871e-62,"0","Rel"
"Pth1r",7.06665587959422e-66,1.38506334128047,0.219,0.095,2.30309381771855e-61,"0","Pth1r"
"Sms",3.55790851127173e-60,0.544795673133066,0.719,0.598,1.15955796290857e-55,"0","Sms"
"Por",6.15254311683936e-60,0.90257284104755,0.463,0.319,2.00517532720912e-55,"0","Por"
"Cald1",4.51253697706333e-59,0.52410112173732,0.759,0.648,1.47068092619471e-54,"0","Cald1"
"Sh3gl3",1.63179541365296e-58,1.22261201883528,0.257,0.131,5.31818443263637e-54,"0","Sh3gl3"
"Hoxb1",4.09646252424526e-57,1.37323016333507,0.328,0.199,1.33507810127677e-52,"0","Hoxb1"
"Amot",6.6402966314537e-56,0.87575221225243,0.363,0.216,2.16413907515708e-51,"0","Amot"
"Celf4",2.19461892280439e-55,1.31722836025742,0.244,0.124,7.15248253131178e-51,"0","Celf4"
"Cmtm7",1.52762572270907e-54,0.951855438778836,0.36,0.22,4.97868499288112e-50,"0","Cmtm7"
"Spred2",1.63178173144958e-53,0.847713436801667,0.463,0.321,5.31813984096734e-49,"0","Spred2"
"Laptm4b",2.16058731792027e-52,0.599589818796241,0.638,0.512,7.04157012783395e-48,"0","Laptm4b"
"Ifitm3",9.12517120504543e-52,0.972004248164164,0.369,0.232,2.97398454743635e-47,"0","Ifitm3"
"Pbx3",4.85702407035841e-51,0.909077111700195,0.362,0.227,1.58295271477051e-46,"0","Pbx3"
"Hipk2",7.54011876465621e-50,0.663079807540445,0.59,0.459,2.45740010658911e-45,"0","Hipk2"
"Wnt5a",1.74533714138727e-49,0.574848347898848,0.488,0.326,5.68822827749525e-45,"0","Wnt5a"
"Smarcd3",8.79295689410543e-49,1.12803487837467,0.21,0.102,2.8657125813579e-44,"0","Smarcd3"
"Nr6a1",6.27274588491362e-47,0.551994696687125,0.612,0.485,2.0443506113522e-42,"0","Nr6a1"
"Khdrbs3",1.80671114848362e-46,0.821709853263798,0.509,0.384,5.88825230402297e-42,"0","Khdrbs3"
"Ppic",1.20416518860901e-45,0.930876080678419,0.34,0.216,3.92449476619562e-41,"0","Ppic"
"Hoxb3os",1.17063239069546e-44,1.15295933690023,0.291,0.176,3.81520802451556e-40,"0","Hoxb3os"
"Mycn",6.01613802886891e-44,0.747615902874497,0.4,0.267,1.96071954498867e-39,"0","Mycn"
"Tspo",6.36286236457288e-44,0.687412266922298,0.469,0.339,2.07372047323795e-39,"0","Tspo"
"Slc6a6",9.01078529525214e-44,0.827781873096942,0.396,0.269,2.93670503557562e-39,"0","Slc6a6"
"Lamb1",2.12282475695109e-41,0.795796183792255,0.439,0.317,6.91849816537931e-37,"0","Lamb1"
"Atp2c1",6.20027103685298e-35,0.894298548437823,0.291,0.188,2.02073033362076e-30,"0","Atp2c1"
"Slc38a4",8.5254956209421e-35,1.08120730133709,0.236,0.14,2.77854427782124e-30,"0","Slc38a4"
"Pcmtd1",6.93701536588172e-34,0.680872560595337,0.422,0.312,2.26084267789451e-29,"0","Pcmtd1"
"Limch1",1.12839126004204e-33,0.61768046243395,0.324,0.206,3.67753995560303e-29,"0","Limch1"
"Zic3",1.56671401748856e-33,0.807922877552059,0.312,0.206,5.10607765439697e-29,"0","Zic3"
"Mrps6",1.85521268266074e-32,0.552538330561473,0.572,0.48,6.0463236540596e-28,"0","Mrps6"
"Ap1s2",2.95964454523054e-32,1.15941220557971,0.2,0.114,9.64577753736084e-28,"0","Ap1s2"
"Sulf1",3.34107049695449e-32,0.693774030078414,0.422,0.314,1.08888828566244e-27,"0","Sulf1"
"Syngr2",4.34312999296892e-32,0.829417242101874,0.361,0.262,1.4154694960085e-27,"0","Syngr2"
"Cdc14b",1.4755850383526e-31,0.850653742234772,0.304,0.206,4.80907919849495e-27,"0","Cdc14b"
"Zeb2",1.23488392334979e-30,0.583024648913362,0.469,0.361,4.02461019458929e-26,"0","Zeb2"
"Smoc1",1.99550919668808e-30,0.557414603882872,0.397,0.276,6.50356402292612e-26,"0","Smoc1"
"Rasgrp3",5.05032401935947e-30,0.680362615803746,0.204,0.114,1.64595110114945e-25,"0","Rasgrp3"
"Lpp",9.81761201917627e-30,0.66942292964227,0.363,0.257,3.19965793316974e-25,"0","Lpp"
"C230038L03Rik",6.92581873051969e-29,0.82047508048355,0.22,0.13,2.25719358246367e-24,"0","C230038L03Rik"
"Gm15427",1.65864773309459e-28,0.571521697256816,0.581,0.5,5.40569882692856e-24,"0","Gm15427"
"Zfp703",2.24511232462922e-28,0.55937629627786,0.433,0.323,7.31704557719909e-24,"0","Zfp703"
"Ppfibp1",2.83136540551198e-28,0.729959026532132,0.326,0.229,9.22770299310409e-24,"0","Ppfibp1"
"Pwwp3b",3.37799815085322e-28,0.667384169106713,0.311,0.213,1.10092337734457e-23,"0","Pwwp3b"
"Gm10275",6.24042794377583e-28,0.526157546170346,0.513,0.414,2.03381787115598e-23,"0","Gm10275"
"Rps24-ps3",2.84226900544989e-27,1.05196456360126,0.235,0.152,9.26323891566173e-23,"0","Rps24-ps3"
"Clcn5",3.443688425636e-25,0.644821846781971,0.345,0.252,1.12233249479903e-20,"0","Clcn5"
"Mtcl1",7.01332327728163e-25,0.956188194295186,0.231,0.152,2.28571218929885e-20,"0","Mtcl1"
"Pdgfra",8.10283135808542e-25,0.577307518455801,0.231,0.142,2.64079376791362e-20,"0","Pdgfra"
"Ephb4",2.05596177304497e-23,0.777766950102103,0.235,0.154,6.70058501453086e-19,"0","Ephb4"
"Nomo1",2.64412587859086e-23,0.667966705125238,0.318,0.233,8.61747065091547e-19,"0","Nomo1"
"Hoxa1",8.2430750768447e-23,0.697087659737514,0.293,0.207,2.68650059829446e-18,"0","Hoxa1"
"Spry2",1.13500913967293e-22,0.645122185760491,0.323,0.237,3.69910828710805e-18,"0","Spry2"
"Dock1",2.09365153086913e-22,0.713052569061553,0.313,0.231,6.82341970425559e-18,"0","Dock1"
"Adgra3",3.12374144475877e-22,0.571646917471081,0.387,0.301,1.01805857426133e-17,"0","Adgra3"
"Gm5905",3.78662073116319e-22,0.52547230580956,0.507,0.428,1.2340975624934e-17,"0","Gm5905"
"Axin2",1.51343556901307e-21,0.505226111381101,0.452,0.367,4.9324378629705e-17,"0","Axin2"
"Tln2",2.67485613221343e-21,0.616437959788729,0.363,0.283,8.7176236204968e-17,"0","Tln2"
"Pdcd5-ps",4.42108221042041e-20,0.69758958813885,0.246,0.171,1.44087490319811e-15,"0","Pdcd5-ps"
"Ptprk",1.19114964169382e-19,0.619335500656607,0.285,0.206,3.88207579724432e-15,"0","Ptprk"
"Lactb",6.92264655421837e-19,0.748393385394547,0.263,0.191,2.25615973848531e-14,"0","Lactb"
"Alpl",9.74211820831271e-19,0.57273062940943,0.293,0.212,3.17505374527119e-14,"0","Alpl"
"Magi1",1.07621793910694e-18,0.730781702639942,0.265,0.192,3.50750188534344e-14,"0","Magi1"
"Smad1",1.25455131222955e-18,0.544321478557538,0.387,0.313,4.08870818168734e-14,"0","Smad1"
"Gm10073",1.62588196676344e-18,0.799344142694537,0.276,0.206,5.29891191787872e-14,"0","Gm10073"
"Tmed5",1.02299100032475e-17,0.506294788262817,0.393,0.319,3.33402996915838e-13,"0","Tmed5"
"Elovl1",1.42168619601282e-17,0.810572084261691,0.204,0.14,4.63341748142538e-13,"0","Elovl1"
"Wwp1",1.79145166686256e-17,0.541022242433665,0.391,0.32,5.83852012747177e-13,"0","Wwp1"
"Cdc42ep4",1.81246910245894e-17,0.696377798570652,0.23,0.162,5.90701805182394e-13,"0","Cdc42ep4"
"Lrig1",3.41820895719829e-17,0.531730471318091,0.255,0.179,1.11402848124049e-12,"0","Lrig1"
"Hoxb2",4.32191234647691e-17,0.68418090272767,0.303,0.233,1.40855445284029e-12,"0","Hoxb2"
"F11r",3.51014227994812e-16,0.575618575929314,0.329,0.259,1.14399047045789e-11,"0","F11r"
"Necab2",3.67318870388528e-16,0.755516634899447,0.211,0.148,1.19712893048325e-11,"0","Necab2"
"Dip2c",3.78412316646864e-15,0.681979759772793,0.226,0.163,1.23328358118379e-10,"0","Dip2c"
"Zdhhc16",3.83064121930926e-15,0.581233859440058,0.326,0.261,1.24844427978508e-10,"0","Zdhhc16"
"Rps10-ps2",5.15510518905613e-15,0.512006906965914,0.478,0.426,1.68010033216528e-10,"0","Rps10-ps2"
"Agrn",1.13211309187731e-14,0.528648643108986,0.312,0.245,3.68966977773734e-10,"0","Agrn"
"Smarcd2",1.3164704957441e-14,0.6692820797864,0.252,0.191,4.2905089926796e-10,"0","Smarcd2"
"Csrp1",1.71153625254726e-14,0.6174108809981,0.261,0.198,5.57806780067677e-10,"0","Csrp1"
"Rtl8a",1.76133751592282e-14,0.551161967157984,0.319,0.251,5.74037509814406e-10,"0","Rtl8a"
"Fryl",1.96870967563597e-14,0.596518053585757,0.274,0.21,6.4162217038652e-10,"0","Fryl"
"Acaa2",1.25706010014067e-13,0.556174492459378,0.302,0.24,4.09688457236846e-09,"0","Acaa2"
"Capn2",1.99901495932039e-13,0.513945868405794,0.236,0.173,6.51498965392107e-09,"0","Capn2"
"Gen1",6.402864110238e-13,0.627744392903841,0.215,0.158,2.08675744216767e-08,"0","Gen1"
"Yipf1",6.6080516371353e-13,0.585272913604326,0.265,0.206,2.15363010905876e-08,"0","Yipf1"
"Susd6",3.80858386353597e-12,0.666837034631735,0.201,0.147,1.24125556696501e-07,"0","Susd6"
"Tlnrd1",6.26478068973302e-12,0.689107991856074,0.206,0.154,2.04175467459089e-07,"0","Tlnrd1"
"Gse1",6.9858978522047e-12,0.509248618329238,0.294,0.236,2.27677396901203e-07,"0","Gse1"
"Olfm1",3.90086947455394e-10,0.511297193871724,0.245,0.193,1.27133237045188e-05,"0","Olfm1"
"Etv6",1.40855336893245e-08,0.501281343251311,0.253,0.209,0.000459061628468775,"0","Etv6"
"Sntb2",1.56508574790779e-07,0.54673010041759,0.218,0.179,0.00510077096100628,"0","Sntb2"
"Pim2",0,2.84014149366182,0.848,0.141,0,"1","Pim2"
"Pou5f1",0,2.86020639781195,0.989,0.308,0,"1","Pou5f1"
"Epcam",0,2.28834476638061,0.938,0.263,0,"1","Epcam"
"Chchd10",0,2.05886726315221,0.922,0.361,0,"1","Chchd10"
"Fst",0,2.03679406330839,0.91,0.353,0,"1","Fst"
"Cdh1",0,2.60776316578928,0.682,0.136,0,"1","Cdh1"
"L1td1",0,2.61676856458806,0.657,0.113,0,"1","L1td1"
"Apoe",0,1.85428431231152,0.917,0.392,0,"1","Apoe"
"Mt2",0,2.2717854820497,0.748,0.229,0,"1","Mt2"
"Mt1",0,2.24599204070986,0.866,0.361,0,"1","Mt1"
"Cldn7",0,2.89827788453461,0.572,0.084,0,"1","Cldn7"
"Tmem238",0,2.37638165732191,0.622,0.139,0,"1","Tmem238"
"Tcea3",0,1.61826410719715,0.902,0.424,0,"1","Tcea3"
"Bst2",0,2.12781049745504,0.628,0.151,0,"1","Bst2"
"T",0,2.00996600512406,0.834,0.362,0,"1","T"
"Igfbp2",0,1.34495026244946,0.749,0.295,0,"1","Igfbp2"
"Rbpms2",0,1.59087838277458,0.755,0.309,0,"1","Rbpms2"
"Cdkn1a",0,1.66694720030777,0.924,0.479,0,"1","Cdkn1a"
"Akap12",0,1.74237134040091,0.688,0.26,0,"1","Akap12"
"Ddit41",0,1.52203689914523,0.846,0.419,0,"1","Ddit4"
"Stmn2",0,1.75326895418635,0.647,0.225,0,"1","Stmn2"
"Gclm",0,1.56314157816848,0.779,0.369,0,"1","Gclm"
"Nectin2",0,1.68414515523144,0.675,0.267,0,"1","Nectin2"
"Dnmt3b",0,1.61565396624224,0.861,0.457,0,"1","Dnmt3b"
"Ppp4r4",0,2.79497224601858,0.49,0.092,0,"1","Ppp4r4"
"Arl4c",0,1.6918968094248,0.65,0.256,0,"1","Arl4c"
"Myo10",0,1.79384998806974,0.635,0.246,0,"1","Myo10"
"Tuba4a",0,2.05448005078467,0.512,0.13,0,"1","Tuba4a"
"Ina",0,1.80758898197527,0.547,0.172,0,"1","Ina"
"Mkrn1",0,1.28726903568002,0.961,0.59,0,"1","Mkrn1"
"Soat1",0,1.41898338694631,0.832,0.462,0,"1","Soat1"
"Ephx2",0,2.8024343083984,0.424,0.066,0,"1","Ephx2"
"Klf9",0,2.09685480896878,0.469,0.121,0,"1","Klf9"
"Zscan10",0,2.27377673045502,0.449,0.107,0,"1","Zscan10"
"Epp13",0,3.2590728880724,0.377,0.046,0,"1","Epp13"
"F2rl1",0,2.4489707523408,0.394,0.081,0,"1","F2rl1"
"Nanog",0,2.16398271260245,0.389,0.078,0,"1","Nanog"
"Cldn6",0,1.85098752457383,0.383,0.074,0,"1","Cldn6"
"Gm43078",0,1.54047979690323,0.965,0.682,0,"1","Gm43078"
"Snrpn",0,1.53706832992984,0.977,0.696,0,"1","Snrpn"
"Platr10",0,3.00808479370195,0.322,0.045,0,"1","Platr10"
"Esrp1",0,2.58660844363908,0.307,0.055,0,"1","Esrp1"
"Cldn3",0,3.06000307260709,0.262,0.036,0,"1","Cldn3"
"Rbbp7",0,1.01213422732796,0.972,0.811,0,"1","Rbbp7"
"Meg3",0,1.10969548243489,0.996,0.899,0,"1","Meg3"
"Gng3",5.54127007190459e-301,1.92191742544486,0.431,0.111,1.80595532913442e-296,"1","Gng3"
"Alg13",2.25783272931666e-297,1.60883715736037,0.66,0.273,7.35850264811594e-293,"1","Alg13"
"Ftl1",9.26237820037625e-294,0.578004266737207,1,1,3.01870167928462e-289,"1","Ftl1"
"Blvrb",2.30303214718294e-286,1.6377429522465,0.598,0.221,7.50581207088393e-282,"1","Blvrb"
"Alox15",1.01918352094057e-285,2.27395312580259,0.354,0.081,3.3216210130974e-281,"1","Alox15"
"Zmynd8",1.15902829620639e-284,1.15379989685116,0.889,0.636,3.77738912016625e-280,"1","Zmynd8"
"Nrcam",6.26904503163625e-281,2.6245073674402,0.275,0.049,2.04314446626057e-276,"1","Nrcam"
"Phc1",1.29843813383777e-280,1.60604905777819,0.676,0.308,4.23173972199068e-276,"1","Phc1"
"Bex1",5.0948209900615e-280,0.803970847056198,0.988,0.867,1.66045310887094e-275,"1","Bex1"
"Crip2",3.95656869418055e-263,1.71594933770773,0.489,0.157,1.28948530312038e-258,"1","Crip2"
"Lama5",2.02560398264e-261,1.84423785176429,0.463,0.146,6.60164593982202e-257,"1","Lama5"
"Pmm1",6.78376336528797e-261,1.20609316870906,0.808,0.433,2.210896318381e-256,"1","Pmm1"
"Frem2",8.22209864234173e-255,1.97888172118513,0.384,0.103,2.67966416852559e-250,"1","Frem2"
"Rab25",7.55962278295964e-240,2.52007079836068,0.223,0.037,2.46375666119437e-235,"1","Rab25"
"Pou3f1",2.79689365087493e-237,2.1122708038408,0.331,0.083,9.11535609756648e-233,"1","Pou3f1"
"Dcxr",7.49031155308113e-237,1.52034569778658,0.559,0.216,2.44116743826467e-232,"1","Dcxr"
"Gm11942",2.01434077563595e-236,0.559030826904595,0.996,0.976,6.56493802187511e-232,"1","Gm11942"
"Vrtn",5.76835472165914e-236,2.06007040408074,0.329,0.082,1.87996448733593e-231,"1","Vrtn"
"Apela",4.9437948815816e-235,1.88341746695744,0.473,0.166,1.61123218985626e-230,"1","Apela"
"Pid1",1.51269497599838e-234,1.91695755708694,0.369,0.101,4.9300241962763e-230,"1","Pid1"
"Plekhf2",2.41351107420209e-230,1.49457532778241,0.59,0.254,7.86587394193204e-226,"1","Plekhf2"
"Zfp990",7.79478325286873e-229,1.69732939121854,0.446,0.147,2.54039780994245e-224,"1","Zfp990"
"Utf1",3.99911511904718e-228,1.53067996226944,0.306,0.07,1.30335160844867e-223,"1","Utf1"
"Rapgef5",1.29482822158264e-223,2.40381315459998,0.251,0.051,4.21997465695998e-219,"1","Rapgef5"
"Wnt8a",2.58178891118701e-223,1.54887863825973,0.451,0.148,8.41430824044959e-219,"1","Wnt8a"
"Tdh",6.71131556811966e-223,1.68481938923971,0.279,0.061,2.18728485680588e-218,"1","Tdh"
"Tex15",7.1593940100582e-223,2.07064105666495,0.341,0.092,2.33331810181807e-218,"1","Tex15"
"Ldhb",7.84169627118966e-223,0.981620825104564,0.908,0.666,2.55568723174342e-218,"1","Ldhb"
"Taf7",1.16517682854865e-218,0.941924566738636,0.893,0.652,3.7974278019229e-214,"1","Taf7"
"Cyfip2",1.26351313713159e-218,1.97182288684643,0.367,0.108,4.11791566522557e-214,"1","Cyfip2"
"Pdzd4",9.75448074170335e-216,2.36573563155122,0.244,0.05,3.17908281852854e-211,"1","Pdzd4"
"AC160336.1",7.65785134475914e-212,0.654090061365887,1,0.995,2.49577033177045e-207,"1","AC160336.1"
"Apln",5.67455908375789e-211,2.17871179003743,0.274,0.063,1.84939555098753e-206,"1","Apln"
"Crip1",7.41044910624288e-211,1.75300196894843,0.336,0.091,2.41513946821562e-206,"1","Crip1"
"Apoc1",1.44874422200616e-210,2.06685992749424,0.262,0.058,4.72160229394028e-206,"1","Apoc1"
"Atox1",5.41115133748731e-203,0.621188546655191,0.984,0.908,1.76354833240049e-198,"1","Atox1"
"Ar",2.16190071431093e-202,2.31682094965887,0.231,0.046,7.04585061801076e-198,"1","Ar"
"Rian",3.16630686052058e-202,0.96544839788433,0.85,0.558,1.03193106891226e-197,"1","Rian"
"Cbx7",3.74424405268317e-201,2.40213082197891,0.219,0.042,1.22028657920997e-196,"1","Cbx7"
"Utp14a",2.99309299565635e-198,1.06263085551787,0.794,0.513,9.75478938214361e-194,"1","Utp14a"
"Fmr1nb",4.05546368181861e-198,2.31599931854953,0.223,0.044,1.3217161685415e-193,"1","Fmr1nb"
"Ubr7",5.9501858994691e-198,1.14999897690808,0.745,0.446,1.93922508649598e-193,"1","Ubr7"
