"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kansl1",0.000240173723929055,0.854912519098122,0.687,0.53,1,"18","Kansl1"
"Ngdn",0.000242283202470031,0.97219622338155,0.552,0.39,1,"18","Ngdn"
"Zfp688",0.000247602102805264,1.58681466895367,0.358,0.197,1,"18","Zfp688"
"Clic11",0.000250816760536239,0.612934136575174,0.881,0.719,1,"18","Clic1"
"Pdpn3",0.000261702213194882,1.44173963703127,0.224,0.094,1,"18","Pdpn"
"Soat13",0.000266175415669265,0.730411436863034,0.657,0.501,1,"18","Soat1"
"Washc42",0.000266572201231604,1.4511630879176,0.373,0.213,1,"18","Washc4"
"Irf2bp22",0.000267836145433294,1.13700034323738,0.358,0.192,1,"18","Irf2bp2"
"Amdhd21",0.000269443798518391,1.44599863984657,0.284,0.138,1,"18","Amdhd2"
"Fbxw91",0.000273037177359252,1.45410257468583,0.313,0.166,1,"18","Fbxw9"
"Spint26",0.000279233019622039,1.02508629925007,0.433,0.271,1,"18","Spint2"
"Gm59001",0.000280782096700828,0.985642041990697,0.478,0.288,1,"18","Gm5900"
"Derl21",0.000283645598091565,1.24787951094896,0.418,0.254,1,"18","Derl2"
"Tbc1d151",0.00028594426535166,1.13133583727156,0.537,0.369,1,"18","Tbc1d15"
"Brix1",0.00029067749729935,0.626040532210935,0.881,0.766,1,"18","Brix1"
"Hsdl2",0.000296025934754074,1.69748187403527,0.254,0.113,1,"18","Hsdl2"
"Blvrb5",0.000299804348233116,0.808915389420835,0.448,0.26,1,"18","Blvrb"
"9230114K14Rik",0.000300518763789408,1.89766884592402,0.239,0.107,1,"18","9230114K14Rik"
"Ssbp42",0.000303418671580204,1.85711792505049,0.284,0.14,1,"18","Ssbp4"
"Itgb1bp1",0.000306103882646689,1.07289762497065,0.448,0.269,1,"18","Itgb1bp1"
"Snx2",0.000307246463386634,1.08660225663909,0.537,0.377,1,"18","Snx2"
"Pura4",0.000311902528061191,0.985574817111988,0.522,0.339,1,"18","Pura"
"Lrrfip11",0.000322292969157887,1.26224331748727,0.403,0.238,1,"18","Lrrfip1"
"Fkbp92",0.000325315918129492,1.08517698473258,0.373,0.196,1,"18","Fkbp9"
"Pigt2",0.000327476963490387,1.56867585394999,0.284,0.138,1,"18","Pigt"
"Samd8",0.000340519688094241,1.49397872149343,0.239,0.104,1,"18","Samd8"
"Jund3",0.000347816866255441,0.679080175478767,0.701,0.564,1,"18","Jund"
"Lrrc8d1",0.000350455158995499,1.19224925030274,0.239,0.104,1,"18","Lrrc8d"
"Stard103",0.000360437491379767,1.4042413957609,0.239,0.109,1,"18","Stard10"
"Snx33",0.000363430636614043,0.732140525624717,0.866,0.679,1,"18","Snx3"
"Cuta",0.000363584795822452,0.926906043447505,0.761,0.641,1,"18","Cuta"
"Csrp14",0.000363748263043874,1.44388480468988,0.358,0.205,1,"18","Csrp1"
"Tm7sf31",0.000378784646148445,1.49786890286589,0.239,0.106,1,"18","Tm7sf3"
"Bccip",0.000402134366166347,0.598584987732738,0.866,0.701,1,"18","Bccip"
"Mien13",0.000402235759649013,1.0486876053695,0.582,0.434,1,"18","Mien1"
"Gla",0.000414983112495496,1.75577762645983,0.209,0.09,1,"18","Gla"
"Eapp",0.000419132408559451,0.729852162764299,0.642,0.509,1,"18","Eapp"
"Nle11",0.000420647507760353,1.17210766296133,0.373,0.214,1,"18","Nle1"
"Dnajc131",0.000437919931976326,1.01774301077742,0.478,0.298,1,"18","Dnajc13"
"Stmn33",0.000442898271926322,1.45186935672779,0.254,0.118,1,"18","Stmn3"
"Nfe2l23",0.000447256545006893,1.0835921530888,0.373,0.209,1,"18","Nfe2l2"
"Dcxr4",0.000453913034958546,1.12091765828588,0.418,0.252,1,"18","Dcxr"
"Pdgfa5",0.000494422092378942,1.1625192327587,0.388,0.217,1,"18","Pdgfa"
"Dcaf131",0.000495355046835349,0.839322169587363,0.567,0.409,1,"18","Dcaf13"
