p_val	avg_log2FC	pct.1	pct.2	p_val_adj	name	loci	tissue
0.697128827	0.191747761	0.147	0.143	1	B230354K17Rik	other	Somitic Mesoderm
0.697214402	0.421090387	0.039	0.036	1	Accs	other	Somitic Mesoderm
0.697241133	-0.048739935	0.292	0.308	1	Xrcc1	other	Somitic Mesoderm
0.697356746	0.121039073	0.113	0.107	1	Coq9	other	Somitic Mesoderm
0.697381152	0.273029414	0.087	0.083	1	Oscp1	other	Somitic Mesoderm
0.697388547	-0.101404836	0.083	0.089	1	Ric8b	other	Somitic Mesoderm
0.697433049	0.120655156	0.039	0.044	1	Prr5	other	Somitic Mesoderm
0.697536348	0.107328976	0.092	0.1	1	Amt	other	Somitic Mesoderm
0.697558489	0.028739168	0.591	0.604	1	Exosc7	other	Somitic Mesoderm
0.697633315	-0.010744764	0.156	0.166	1	Fam117b	other	Somitic Mesoderm
0.697776172	-0.083358839	0.034	0.039	1	Nudt22	other	Somitic Mesoderm
0.697800971	0.214844529	0.244	0.238	1	Fam122a	other	Somitic Mesoderm
0.697971542	-0.018501558	0.018	0.021	1	Gm49309	other	Somitic Mesoderm
0.698048005	0.102721875	0.184	0.175	1	Fzd10os	other	Somitic Mesoderm
0.698127583	-0.115149739	0.267	0.271	1	Rcbtb1	other	Somitic Mesoderm
0.698292429	-0.123737298	0.018	0.021	1	Chac2	other	Somitic Mesoderm
0.698336009	0.016234509	0.586	0.607	1	Prrc2a	other	Somitic Mesoderm
0.69858802	-0.02322421	0.802	0.804	1	Fbn2	other	Somitic Mesoderm
0.698670853	-0.089109693	0.064	0.07	1	Crtc1	other	Somitic Mesoderm
0.699109881	-0.047934167	0.018	0.016	1	Gm15452	other	Somitic Mesoderm
0.699458431	0.027433769	0.041	0.037	1	Ctsf	other	Somitic Mesoderm
0.699640359	0.030596019	0.549	0.578	1	Ccdc50	other	Somitic Mesoderm
0.699736574	0.133271817	0.253	0.25	1	Ap2a1	other	Somitic Mesoderm
0.699750243	0.138428216	0.074	0.068	1	Lmbrd2	other	Somitic Mesoderm
0.699958424	0.104714284	0.338	0.333	1	Epb41l2	other	Somitic Mesoderm
0.699987362	-0.273682681	0.028	0.031	1	Zkscan6	other	Somitic Mesoderm
0.700074249	0.402775373	0.021	0.018	1	1700030C10Rik	other	Somitic Mesoderm
0.700078634	-0.035046463	0.025	0.029	1	1700102H20Rik	other	Somitic Mesoderm
0.700155576	-0.024635871	0.09	0.096	1	Zfp180	other	Somitic Mesoderm
0.700263261	0.057555436	0.915	0.898	1	Cbx1	other	Somitic Mesoderm
0.700547647	-0.049378825	0.057	0.053	1	1700120C14Rik	other	Somitic Mesoderm
0.700647792	0.158873407	0.186	0.18	1	Tinf2	other	Somitic Mesoderm
0.700771305	0.053782436	0.106	0.099	1	Gm5915	other	Somitic Mesoderm
0.700808156	-0.012583153	0.533	0.514	1	Pcmt1	other	Somitic Mesoderm
0.700883757	0.155020952	0.177	0.172	1	Cep350	other	Somitic Mesoderm
0.700943342	0.156021728	0.069	0.064	1	4930579G24Rik	other	Somitic Mesoderm
0.701108148	-0.171211269	0.078	0.084	1	9230114K14Rik	other	Somitic Mesoderm
0.701188293	0.052151056	0.025	0.029	1	Wdr54	other	Somitic Mesoderm
0.701378268	0.011221969	0.198	0.208	1	Sumo2	other	Somitic Mesoderm
0.701415002	0.527535833	0.028	0.024	1	Pcx	other	Somitic Mesoderm
0.701464423	0.536649443	0.03	0.027	1	Npdc1	other	Somitic Mesoderm
0.701465808	0.006594974	0.025	0.029	1	Nsg2	other	Somitic Mesoderm
0.701674266	-0.553364282	0.014	0.016	1	D430041D05Rik	other	Somitic Mesoderm
0.701882594	-0.067347205	0.085	0.091	1	Znrd1as	other	Somitic Mesoderm
0.702012094	0.165345337	0.064	0.059	1	Irf3	other	Somitic Mesoderm
0.702077824	-0.031245459	0.046	0.042	1	Kirrel	other	Somitic Mesoderm
0.702237344	-0.111031083	0.136	0.143	1	Sdk2	other	Somitic Mesoderm
0.702291579	0.536609827	0.028	0.024	1	Mpv17l	other	Somitic Mesoderm
0.702552082	0.013706256	0.06	0.065	1	Galk2	other	Somitic Mesoderm
0.702576848	0.500129857	0.025	0.022	1	Grk5	other	Somitic Mesoderm
0.702986573	0.124311421	0.237	0.231	1	Tufm	other	Somitic Mesoderm
0.703112179	0.247196892	0.023	0.02	1	Zfp658	other	Somitic Mesoderm
0.703264184	0.014190495	0.092	0.099	1	Lyrm4	other	Somitic Mesoderm
0.703282907	-0.029516783	0.63	0.645	1	Arl3	other	Somitic Mesoderm
0.703321846	0.517996316	0.039	0.036	1	Lyst	other	Somitic Mesoderm
0.703405744	0.026667425	0.191	0.182	1	Fjx1	other	Somitic Mesoderm
0.703573613	-0.081543942	0.159	0.165	1	Glmp	other	Somitic Mesoderm
0.703604388	-0.020073961	0.156	0.166	1	Dmac2	other	Somitic Mesoderm
0.703704575	-0.050755529	0.08	0.087	1	Gtdc1	other	Somitic Mesoderm
0.703746346	0.063544753	0.267	0.254	1	Tasor2	other	Somitic Mesoderm
0.704157872	-0.087373625	0.184	0.192	1	Tsc22d2	other	Somitic Mesoderm
0.704172166	0.043711253	0.115	0.124	1	Klhl11	other	Somitic Mesoderm
0.704185047	0.17970443	0.085	0.093	1	Ccdc61	other	Somitic Mesoderm
0.704203126	-0.092424707	0.501	0.514	1	Mbtd1	other	Somitic Mesoderm
0.704230877	0.036935856	0.078	0.085	1	AI480526	other	Somitic Mesoderm
0.704290272	-0.036040125	0.816	0.821	1	Drap1	other	Somitic Mesoderm
0.704399897	-0.004222695	0.034	0.039	1	Gm13453	other	Somitic Mesoderm
0.704496398	0.077572907	0.274	0.264	1	Timm21	other	Somitic Mesoderm
0.704549873	0.542937297	0.03	0.027	1	Gm6142	other	Somitic Mesoderm
0.704625426	-0.523244007	0.014	0.016	1	Bche	other	Somitic Mesoderm
0.70463834	-0.119100987	0.182	0.189	1	Krit1	other	Somitic Mesoderm
0.704642845	0.061309595	0.2	0.194	1	Rab35	other	Somitic Mesoderm
0.704666227	0.212456389	0.159	0.153	1	Rpap1	other	Somitic Mesoderm
0.704680895	-0.051341223	0.062	0.067	1	Fuz	other	Somitic Mesoderm
0.704769162	0.297893585	0.067	0.062	1	Usp21	other	Somitic Mesoderm
0.704915426	0.120366431	0.092	0.1	1	Tspan7	other	Somitic Mesoderm
0.704956825	0.032701449	0.08	0.087	1	Pcnx4	other	Somitic Mesoderm
0.705177063	-0.013693511	0.021	0.018	1	Ppp1r26	other	Somitic Mesoderm
0.705196866	0.173701272	0.131	0.125	1	Stimate	other	Somitic Mesoderm
0.705229883	-0.083405493	0.446	0.444	1	Noc2l	other	Somitic Mesoderm
0.705240672	0.290376749	0.131	0.127	1	Lmbrd1	other	Somitic Mesoderm
0.705245759	-0.192866904	0.103	0.109	1	Pik3c3	other	Somitic Mesoderm
0.705337853	-0.182906677	0.028	0.031	1	Fgf17	other	Somitic Mesoderm
0.705365499	0.247568202	0.023	0.02	1	Gm42559	other	Somitic Mesoderm
0.705592964	-0.01675953	0.228	0.237	1	Derl1	other	Somitic Mesoderm
0.705605763	-0.180685134	0.028	0.031	1	Srd5a1	other	Somitic Mesoderm
0.705618297	0.044430027	0.584	0.57	1	Bccip	other	Somitic Mesoderm
0.705638071	0.355211988	0.025	0.022	1	Gm36445	other	Somitic Mesoderm
0.705716727	-0.008015852	0.159	0.168	1	Get1	other	Somitic Mesoderm
0.705905403	-0.301150115	0.044	0.048	1	Gm45221	other	Somitic Mesoderm
0.70591804	0.117788791	0.046	0.051	1	Gm20008	other	Somitic Mesoderm
0.706105522	0.037675251	0.485	0.509	1	Spc25	other	Somitic Mesoderm
0.706141691	-0.18097238	0.028	0.031	1	Nanos1	other	Somitic Mesoderm
0.706257292	0.08918976	0.145	0.138	1	Klhdc4	other	Somitic Mesoderm
0.706472162	-0.410293779	0.014	0.016	1	Sox6os	other	Somitic Mesoderm
0.706557371	0.292347789	0.025	0.022	1	Stx1b	other	Somitic Mesoderm
0.706565023	0.193026195	0.083	0.078	1	Fam160b2	other	Somitic Mesoderm
0.706693345	-0.049558609	0.034	0.039	1	Zfp335	other	Somitic Mesoderm
0.706704334	0.338405995	0.062	0.058	1	Fam110a	other	Somitic Mesoderm
0.706741392	0.090187076	0.053	0.048	1	Gm49602	other	Somitic Mesoderm
0.706746114	0.186663275	0.025	0.029	1	Gm15696	other	Somitic Mesoderm
0.706906335	0.050341935	0.067	0.062	1	Pik3ip1	other	Somitic Mesoderm
0.707057629	0.18464579	0.08	0.076	1	Relch	other	Somitic Mesoderm
0.707317448	-0.026444332	0.08	0.087	1	Fech	other	Somitic Mesoderm
0.707422824	0.005614302	0.044	0.048	1	Denn2b	other	Somitic Mesoderm
0.707659804	-0.033344623	0.034	0.039	1	Usp44	other	Somitic Mesoderm
0.707759947	-0.040754184	0.161	0.17	1	Gna12	other	Somitic Mesoderm
0.708032586	0.028373507	0.733	0.728	1	Ddb1	other	Somitic Mesoderm
0.708069679	0.081737963	0.041	0.046	1	D330023K18Rik	other	Somitic Mesoderm
0.708090117	0.097511492	0.06	0.055	1	H2ac6	other	Somitic Mesoderm
0.708162065	0.087349547	0.076	0.082	1	Zbtb39	other	Somitic Mesoderm
0.708172927	-0.211547957	0.145	0.149	1	Arhgap12	other	Somitic Mesoderm
0.708397253	0.443531003	0.025	0.022	1	5930420M18Rik	other	Somitic Mesoderm
0.708518432	0.104082223	0.363	0.362	1	Got2	other	Somitic Mesoderm
0.7087721	0.056388226	0.952	0.964	1	Ifitm2	other	Somitic Mesoderm
0.708911652	0.223348711	0.023	0.02	1	Gm14239	other	Somitic Mesoderm
0.709287505	-0.084695051	0.046	0.05	1	Pdp1	other	Somitic Mesoderm
0.709745855	-0.006020201	0.138	0.146	1	Cdc25c	other	Somitic Mesoderm
0.709846732	0.054751512	0.041	0.046	1	BC065397	other	Somitic Mesoderm
0.709879431	0.076131565	0.122	0.115	1	Zbtb33	other	Somitic Mesoderm
0.710352556	0.143895996	0.051	0.046	1	Dennd6b	other	Somitic Mesoderm
0.710387948	0.172518732	0.211	0.208	1	Trub1	other	Somitic Mesoderm
0.710418187	-0.014133873	0.628	0.626	1	Zfp292	other	Somitic Mesoderm
0.710717035	-0.065957483	0.046	0.042	1	Bok	other	Somitic Mesoderm
0.710824547	0.105137286	0.117	0.111	1	Gm46339	other	Somitic Mesoderm
0.710906396	0.082049237	0.492	0.505	1	Pspc1	other	Somitic Mesoderm
0.710911367	-0.289394382	0.014	0.016	1	Stk26	other	Somitic Mesoderm
0.7109284	0.316580004	0.133	0.13	1	Taf1b	other	Somitic Mesoderm
0.710958191	0.169707494	0.041	0.046	1	Scly	other	Somitic Mesoderm
0.71097159	-0.034400557	0.028	0.031	1	Irf9	other	Somitic Mesoderm
0.711040726	-0.006206495	0.561	0.584	1	Nr2f2	other	Somitic Mesoderm
0.711413019	0.39039642	0.039	0.036	1	1190005I06Rik	other	Somitic Mesoderm
0.711467504	-0.31476387	0.021	0.024	1	Gm48601	other	Somitic Mesoderm
0.71153353	-0.02588681	0.894	0.896	1	Ppig	other	Somitic Mesoderm
0.711725756	0.002112891	0.186	0.194	1	Mast2	other	Somitic Mesoderm
0.711875251	0.050792172	0.487	0.483	1	Api5	other	Somitic Mesoderm
0.712464125	0.037548085	0.023	0.02	1	Setd4	other	Somitic Mesoderm
0.712749585	0.099789059	0.172	0.186	1	Snip1	other	Somitic Mesoderm
0.712775918	0.043851457	0.092	0.099	1	Tmem127	other	Somitic Mesoderm
0.712877326	0.173754838	0.451	0.454	1	Ttc28	other	Somitic Mesoderm
0.713187694	-0.016008965	0.329	0.34	1	Lsg1	other	Somitic Mesoderm
