"Sample","Distance_microns","Gray_Value"
"wt_1",0,22957.158
"wt_1",0.329,23165.043
"wt_1",0.659,22754.613
"wt_1",0.988,22636.486
"wt_1",1.318,22524.809
"wt_1",1.647,22386.42
"wt_1",1.977,21882.162
"wt_1",2.306,22042.242
"wt_1",2.635,21778.846
"wt_1",2.965,21773.502
"wt_1",3.294,21564.723
"wt_1",3.624,21483.902
"wt_1",3.953,21869.021
"wt_1",4.283,21873.684
"wt_1",4.612,22040.518
"wt_1",4.941,22367.939
"wt_1",5.271,22470.434
"wt_1",5.6,22725.641
"wt_1",5.93,22276.621
"wt_1",6.259,22291.676
"wt_1",6.588,22558.934
"wt_1",6.918,22229.623
"wt_1",7.247,22027.168
"wt_1",7.577,22262.031
"wt_1",7.906,22320.312
"wt_1",8.236,21957.869
"wt_1",8.565,21665.148
"wt_1",8.894,21685.34
"wt_1",9.224,21617.904
"wt_1",9.553,21321.701
"wt_1",9.883,21110.902
"wt_1",10.212,20889.969
"wt_1",10.542,20760.379
"wt_1",10.871,20699.236
"wt_1",11.2,20677.385
"wt_1",11.53,20712.941
"wt_1",11.859,20464.039
"wt_1",12.189,20577.289
"wt_1",12.518,20862.879
"wt_1",12.848,20994.35
"wt_1",13.177,20977.449
"wt_1",13.506,20762.201
"wt_1",13.836,21052.666
"wt_1",14.165,21049.686
"wt_1",14.495,21117.416
"wt_1",14.824,21212.006
"wt_1",15.153,21259.988
"wt_1",15.483,21250.947
"wt_1",15.812,21415.99
"wt_1",16.142,21678.016
"wt_1",16.471,21594.691
"wt_1",16.801,21569.15
"wt_1",17.13,21716.15
"wt_1",17.459,21702.205
"wt_1",17.789,21686.289
"wt_1",18.118,22109.504
"wt_1",18.448,22234.154
"wt_1",18.777,22142.58
"wt_1",19.107,22233.326
"wt_1",19.436,22307.455
"wt_1",19.765,22261.32
"wt_1",20.095,22582.33
"wt_1",20.424,22378.414
"wt_1",20.754,22682.139
"wt_1",21.083,22778.893
"wt_1",21.413,23221.428
"wt_1",21.742,23268.996
"wt_1",22.071,23619.09
"wt_1",22.401,23735.832
"wt_1",22.73,23585.566
"wt_1",23.06,23714.9
"wt_1",23.389,23532.949
"wt_1",23.719,23561.238
"wt_1",24.048,23407.059
"wt_1",24.377,23432.922
"wt_1",24.707,23246.963
"wt_1",25.036,23403.984
"wt_1",25.366,23589.459
"wt_1",25.695,23528.193
"wt_1",26.024,23371.631
"wt_1",26.354,23389.609
"wt_1",26.683,23274.758
"wt_1",27.013,23153.744
"wt_1",27.342,22894.201
"wt_1",27.672,22761.859
"wt_1",28.001,22282.455
"wt_1",28.33,22222.361
"wt_1",28.66,21859.287
"wt_1",28.989,22030.35
"wt_1",29.319,21891.359
"wt_1",29.648,21771.131
"wt_1",29.978,21902.727
"wt_1",30.307,22099.662
"wt_1",30.636,22002.316
"wt_1",30.966,21983.459
"wt_1",31.295,21749.17
"wt_1",31.625,21966.512
"wt_1",31.954,21865.406
"wt_1",32.284,21670.133
"wt_1",32.613,21488.789
"wt_1",32.942,21097.09
"wt_1",33.272,21035.895
"wt_1",33.601,20875.51
"wt_1",33.931,20805.697
"wt_1",34.26,20637.67
"wt_1",34.59,20436.072
"wt_1",34.919,20472.412
"wt_1",35.248,20608.074
"wt_1",35.578,20962.736
"wt_1",35.907,21234.248
"wt_1",36.237,21800.711
"wt_1",36.566,21878.781
"wt_1",36.895,21935.436
"wt_1",37.225,22510.65
"wt_1",37.554,22622.42
"wt_1",37.884,22676.477
"wt_1",38.213,22850.77
"wt_1",38.543,23075.746
"wt_1",38.872,23041.406
"wt_1",39.201,22959.639
"wt_1",39.531,22809.523
"wt_1",39.86,22729.768
"wt_1",40.19,23016.832
"wt_1",40.519,22794.57
"wt_1",40.849,22436.695
"wt_1",41.178,22177.982
"wt_1",41.507,22112.617
"wt_1",41.837,22191.682
"wt_1",42.166,21798.51
"wt_1",42.496,21593.975
"wt_1",42.825,21438.143
"wt_1",43.155,21113.107
"wt_1",43.484,20526.059
"wt_1",43.813,20437.178
"wt_1",44.143,20605.646
"wt_1",44.472,20733.797
"wt_1",44.802,20902.645
"wt_1",45.131,21320.398
"wt_1",45.46,21324.232
"wt_1",45.79,21441.844
"wt_1",46.119,21457.818
"wt_1",46.449,21866.654
"wt_1",46.778,21549.871
"wt_1",47.108,21734.275
"wt_1",47.437,21907.418
"wt_1",47.766,21933.754
"wt_1",48.096,21800.975
"wt_1",48.425,21980.305
"wt_1",48.755,22039.627
"wt_1",49.084,21758.707
"wt_1",49.414,22183.564
"wt_1",49.743,22164.291
"wt_1",50.072,22019.051
"wt_1",50.402,22326.686
"wt_1",50.731,22617.877
"wt_1",51.061,22560.748
"wt_1",51.39,22609.092
"wt_1",51.72,22841.188
"wt_1",52.049,23063.725
"wt_1",52.378,23011.068
"wt_1",52.708,23197.732
"wt_1",53.037,23110.047
"wt_1",53.367,23105.709
"wt_1",53.696,22852.82
"wt_1",54.026,23177.654
"wt_1",54.355,22883.248
"wt_1",54.684,22680.979
"wt_1",55.014,22633.584
"wt_1",55.343,22718.617
"wt_1",55.673,22555.596
"wt_1",56.002,22946.789
"wt_1",56.331,22543.609
"wt_1",56.661,22523.418
"wt_1",56.99,22759.143
"wt_1",57.32,22657.445
"wt_1",57.649,22594.559
"wt_1",57.979,22431.754
"wt_1",58.308,22597.906
"wt_1",58.637,22309.736
"wt_1",58.967,22440.865
"wt_1",59.296,22272.457
"wt_1",59.626,22240.051
"wt_1",59.955,22247.916
"wt_1",60.285,22405.445
"wt_1",60.614,22198.758
"wt_1",60.943,22052.506
"wt_1",61.273,22087.58
"wt_1",61.602,21832.387
"wt_1",61.932,22054.244
"wt_1",62.261,22102.566
"wt_1",62.591,22151.564
"wt_1",62.92,21924.477
"wt_1",63.249,21826.508
"wt_1",63.579,21782.553
"wt_1",63.908,21223.291
"wt_1",64.238,21423.654
"wt_1",64.567,21554.572
"wt_1",64.896,21400.467
"wt_1",65.226,21506.148
"wt_1",65.555,21547.295
"wt_1",65.885,21439.541
"wt_1",66.214,21440.643
"wt_1",66.544,21388.682
"wt_1",66.873,21681.197
"wt_1",67.202,21722.316
"wt_1",67.532,21537.215
"wt_1",67.861,21604.281
"wt_1",68.191,21754.086
"wt_1",68.52,21798.982
"wt_1",68.85,21636.008
"wt_1",69.179,21621.369
"wt_1",69.508,21288.533
"wt_1",69.838,21390.189
"wt_1",70.167,21793.963
"wt_1",70.497,21760.504
"wt_1",70.826,21546.18
"wt_1",71.156,21852.928
"wt_1",71.485,22001.582
"wt_1",71.814,22002.836
"wt_1",72.144,22081.807
"wt_1",72.473,22272.908
"wt_1",72.803,22696.207
"wt_1",73.132,22891.596
"wt_1",73.462,22835.705
"wt_1",73.791,22523.467
"wt_1",74.12,22437.172
"wt_1",74.45,22417.119
"wt_1",74.779,22072.762
"wt_1",75.109,22395.531
"wt_1",75.438,22595.168
"wt_1",75.767,22650.986
"wt_1",76.097,22666.295
"wt_1",76.426,22586.387
"wt_1",76.756,22545.914
"wt_1",77.085,22475.34
"wt_1",77.415,22410.715
"wt_1",77.744,22301.205
"wt_1",78.073,22249.127
"wt_1",78.403,22364.547
"wt_1",78.732,21994.715
"wt_1",79.062,22179.611
"wt_1",79.391,22202.949
"wt_1",79.721,21752.857
"wt_1",80.05,21858.271
"wt_1",80.379,21921.033
"wt_1",80.709,21823.629
"wt_1",81.038,21748.494
"wt_1",81.368,21938.682
"wt_1",81.697,21745.504
"wt_1",82.027,21614.244
"wt_1",82.356,21908.879
"wt_1",82.685,22235.027
"wt_1",83.015,22485.418
"wt_1",83.344,22681.891
"wt_1",83.674,22310.01
"wt_1",84.003,22686.684
"wt_1",84.333,22888.119
"wt_1",84.662,22926.85
"wt_1",84.991,23190.279
"wt_1",85.321,23317.545
"wt_1",85.65,23187.529
"wt_1",85.98,23277.287
"wt_1",86.309,23134.139
"wt_1",86.638,23225.053
"wt_1",86.968,23191.6
"wt_1",87.297,23340.129
"wt_1",87.627,22951.957
"wt_1",87.956,23162.061
"wt_1",88.286,23354.846
"wt_1",88.615,23506.264
"wt_1",88.944,23864.084
"wt_1",89.274,23826.527
"wt_1",89.603,23970.156
"wt_1",89.933,24508.758
"wt_1",90.262,24632.035
"wt_1",90.592,24854.869
"wt_1",90.921,24988.805
"wt_1",91.25,25426.59
"wt_1",91.58,25151.963
"wt_1",91.909,25279.701
"wt_1",92.239,25074.516
"wt_1",92.568,25157.021
"wt_1",92.898,25193.773
"wt_1",93.227,25266.982
"wt_1",93.556,25410.961
"wt_1",93.886,25129.906
"wt_1",94.215,24853.824
"wt_1",94.545,24915.854
"wt_1",94.874,24867.885
"wt_1",95.203,24905.346
"wt_1",95.533,24579.572
"wt_1",95.862,24196.244
"wt_1",96.192,24521.693
"wt_1",96.521,24520.959
"wt_1",96.851,24362.643
"wt_1",97.18,24526.494
"wt_1",97.509,24325.852
"wt_1",97.839,24125.271
"wt_1",98.168,24553.404
"wt_1",98.498,24554.666
"wt_1",98.827,24620.074
"wt_1",99.157,24754.023
"wt_1",99.486,24456.625
"wt_1",99.815,25143.469
"wt_1",100.145,24864.508
"wt_1",100.474,25048.113
"wt_1",100.804,25165.738
"wt_1",101.133,25069.701
"wt_1",101.463,25327.562
"wt_1",101.792,24985.959
"wt_1",102.121,24552.363
"wt_1",102.451,24862.242
"wt_1",102.78,24876.754
"wt_1",103.11,24569.006
"wt_1",103.439,24258.08
"wt_1",103.769,24147.684
"wt_1",104.098,23862.297
"wt_1",104.427,23552.689
"wt_1",104.757,23602.014
"wt_1",105.086,23736.484
"wt_1",105.416,23520.863
"wt_1",105.745,23708.584
"wt_1",106.074,23406.314
"wt_1",106.404,23346.02
"wt_1",106.733,23257.256
"wt_1",107.063,22893.33
"wt_1",107.392,23191.479
"wt_1",107.722,23794.391
"wt_1",108.051,23613.34
"wt_1",108.38,23575.609
"wt_1",108.71,23727.727
"wt_1",109.039,23651.061
"wt_1",109.369,23674.984
"wt_1",109.698,23486.328
"wt_1",110.028,23561.404
"wt_1",110.357,23421.625
"wt_1",110.686,23016.297
"wt_1",111.016,23283.4
"wt_1",111.345,23262.949
"wt_1",111.675,23186.193
"wt_1",112.004,23051.594
"wt_1",112.334,23241.062
"wt_1",112.663,22994.277
"wt_1",112.992,23181.926
"wt_1",113.322,23143.93
"wt_1",113.651,23150.146
"wt_1",113.981,23266.186
"wt_1",114.31,23013.836
"wt_1",114.64,23066.99
"wt_1",114.969,23165.609
"wt_1",115.298,23102.439
"wt_1",115.628,22722.871
"wt_1",115.957,22824.422
"wt_1",116.287,22606.918
"wt_1",116.616,22565.041
"wt_1",116.945,22266.871
"wt_1",117.275,22059.854
"wt_1",117.604,22304.492
"wt_1",117.934,22144.875
"wt_1",118.263,22124.789
"wt_1",118.593,22065.904
"wt_1",118.922,21805.902
"wt_1",119.251,22168.467
"wt_1",119.581,22359.217
"wt_1",119.91,22072.641
"wt_1",120.24,22241.182
"wt_1",120.569,22013.547
"wt_1",120.899,21860.014
"wt_1",121.228,21960.207
"wt_1",121.557,22054.645
"wt_1",121.887,22321.729
"wt_1",122.216,22543.664
"wt_1",122.546,22487.594
"wt_1",122.875,22520.844
"wt_1",123.205,22476.609
"wt_1",123.534,22415.646
"wt_1",123.863,22498.555
"wt_1",124.193,22322.752
"wt_1",124.522,22351.451
"wt_1",124.852,22267.547
"wt_1",125.181,22329.439
"wt_1",125.51,22277.344
"wt_1",125.84,22367.709
"wt_1",126.169,22407.73
"wt_1",126.499,22315.123
"wt_1",126.828,22449.477
"wt_1",127.158,22321.373
"wt_1",127.487,22465.602
"wt_1",127.816,22551.729
"wt_1",128.146,22115.646
"wt_1",128.475,21936.473
"wt_1",128.805,22063.953
"wt_1",129.134,22090.992
"wt_1",129.464,22243.629
"wt_1",129.793,21963.822
"wt_1",130.122,21477.816
"wt_1",130.452,21911.199
"wt_1",130.781,21927.309
"wt_1",131.111,22268.273
"wt_1",131.44,21992.482
"wt_1",131.77,22062.062
"wt_1",132.099,22111.523
"wt_1",132.428,22372.744
"wt_1",132.758,22356.389
"wt_1",133.087,22494.795
"wt_1",133.417,22608.785
"wt_1",133.746,21995.594
"wt_1",134.076,22099.1
"wt_1",134.405,22289.879
"wt_1",134.734,22296.312
"wt_1",135.064,22285.9
"wt_1",135.393,22351.463
"wt_1",135.723,22245.529
"wt_1",136.052,22102.871
"wt_1",136.381,22185.848
"wt_1",136.711,22545.988
"wt_1",137.04,22191.225
"wt_1",137.37,22184.605
"wt_1",137.699,22110.797
"wt_1",138.029,22239.787
"wt_1",138.358,22046.279
"wt_1",138.687,22087.488
"wt_1",139.017,21892.717
"wt_1",139.346,21769.439
"wt_1",139.676,21583.666
"wt_1",140.005,21418.645
"wt_1",140.335,21451.049
"wt_1",140.664,21356.107
"wt_1",140.993,21133.201
"wt_1",141.323,21441.641
"wt_1",141.652,21164.176
"wt_1",141.982,21542.158
"wt_1",142.311,21610.26
"wt_1",142.641,21590.662
"wt_1",142.97,21598.75
"wt_1",143.299,22038.438
"wt_1",143.629,21822.246
"wt_1",143.958,22151.121
"wt_1",144.288,22149.135
"wt_1",144.617,22405.793
"wt_1",144.947,22584.836
"wt_1",145.276,22788.549
"wt_1",145.605,23146.836
"wt_1",145.935,23230.506
"wt_1",146.264,23189.018
"wt_1",146.594,23285.633
"wt_1",146.923,23486.832
"wt_1",147.252,23469.035
"wt_1",147.582,23520.588
"wt_1",147.911,23600.797
"wt_1",148.241,23406.535
"wt_1",148.57,23393.104
"wt_1",148.9,23560.891
"wt_1",149.229,23164.752
"wt_1",149.558,23142.424
"wt_1",149.888,23137.598
"wt_1",150.217,23286.777
"wt_1",150.547,23109.762
"wt_1",150.876,22732.826
"wt_1",151.206,22637.318
"wt_1",151.535,23165.615
"wt_1",151.864,23427.215
"wt_1",152.194,22989.262
"wt_1",152.523,22753.639
"wt_1",152.853,22788.525
"wt_1",153.182,22642.324
"wt_1",153.512,22569.555
"wt_1",153.841,22477.672
"wt_1",154.17,22363.195
"wt_1",154.5,22434.344
"wt_1",154.829,22591.012
"wt_1",155.159,22515.945
"wt_1",155.488,22834.129
"wt_1",155.817,22693.35
"wt_1",156.147,22825.393
"wt_1",156.476,22734.316
"wt_1",156.806,23167.645
"wt_1",157.135,23017.17
"wt_1",157.465,23038.619
"wt_1",157.794,23216.977
"wt_1",158.123,23190.91
"wt_1",158.453,23113.014
"wt_1",158.782,23148.527
"wt_1",159.112,23115.26
"wt_1",159.441,22858.113
"wt_1",159.771,22995.916
"wt_1",160.1,23050.703
"wt_1",160.429,23241.016
"wt_1",160.759,23269.758
"wt_1",161.088,22988.713
"wt_1",161.418,22720.127
"wt_1",161.747,22991.273
"wt_1",162.077,23419.719
"wt_1",162.406,23713.828
"wt_1",162.735,23688.838
"wt_1",163.065,23758.775
"wt_1",163.394,23906.764
"wt_1",163.724,23944.957
"wt_1",164.053,24163.91
"wt_1",164.383,24177.393
"wt_1",164.712,24040.945
"wt_1",165.041,23999.279
"wt_1",165.371,23968.775
"wt_1",165.7,23971.051
"wt_1",166.03,24146.906
"wt_1",166.359,24234.129
"wt_1",166.688,24041.533
"wt_1",167.018,24236.328
"wt_1",167.347,24369.479
"wt_1",167.677,24503.145
"wt_1",168.006,24481.9
"wt_1",168.336,24683.846
"wt_1",168.665,24511.865
"wt_1",168.994,24577.684
"wt_1",169.324,24850.967
"wt_1",169.653,24877.559
"wt_1",169.983,25172.393
"wt_1",170.312,25103.359
"wt_1",170.642,25261.357
"wt_1",170.971,25049.156
"wt_1",171.3,25536.797
"wt_1",171.63,25726.012
"wt_1",171.959,25835.482
"wt_1",172.289,25736.635
"wt_1",172.618,25925.518
"wt_1",172.948,26113.688
"wt_1",173.277,26111.105
"wt_1",173.606,25914.365
"wt_1",173.936,25560.283
"wt_1",174.265,25448.658
"wt_1",174.595,25328.582
"wt_1",174.924,25367.078
"wt_1",175.253,24950.361
"wt_1",175.583,25025.529
"wt_1",175.912,24994.854
"wt_1",176.242,24975.012
"wt_1",176.571,25019.555
"wt_1",176.901,25167.473
"wt_1",177.23,25003.779
"wt_1",177.559,25021.391
"wt_1",177.889,24836.699
"wt_1",178.218,24913.207
"wt_1",178.548,25031.445
"wt_1",178.877,24992.633
"wt_1",179.207,24732.656
"wt_1",179.536,24982.297
"wt_1",179.865,25256.172
"wt_1",180.195,25345.631
"wt_1",180.524,25901.711
"wt_1",180.854,25913.561
"wt_1",181.183,26183.221
"wt_1",181.513,26229.346
"wt_1",181.842,26189.016
"wt_1",182.171,26383.988
"wt_1",182.501,26456.15
"wt_1",182.83,26737.111
"wt_1",183.16,26403.295
"wt_1",183.489,26517.197
"wt_1",183.819,26487.174
"wt_1",184.148,26302.949
"wt_1",184.477,26407.068
"wt_1",184.807,26471.102
"wt_1",185.136,26272.643
"wt_1",185.466,26210.441
"wt_1",185.795,25967.504
"wt_1",186.124,25836.225
"wt_1",186.454,25768.945
"wt_1",186.783,25544.414
"wt_1",187.113,25383.539
"wt_1",187.442,25609.055
"wt_1",187.772,25450.523
"wt_1",188.101,25295.508
"wt_1",188.43,25347.926
"wt_1",188.76,25514.756
"wt_1",189.089,25501.615
"wt_1",189.419,25456.391
"wt_1",189.748,25098.922
"wt_1",190.078,25245.475
"wt_1",190.407,25395.199
"wt_1",190.736,25458.449
"wt_1",191.066,25666.055
"wt_1",191.395,25797.574
"wt_1",191.725,25905.582
"wt_1",192.054,25757.818
"wt_1",192.384,25949.434
"wt_1",192.713,25861.02
"wt_1",193.042,26085.754
"wt_1",193.372,25987.074
"wt_1",193.701,25824.154
"wt_1",194.031,25857.422
"wt_1",194.36,25802.57
"wt_1",194.689,25665.855
"wt_1",195.019,25888.496
"wt_1",195.348,25633.133
"wt_1",195.678,25251.838
"wt_1",196.007,25220.342
"wt_1",196.337,24965.949
"wt_1",196.666,25238.957
"wt_1",196.995,25562.164
"wt_1",197.325,25244.271
"wt_1",197.654,24926.033
"wt_1",197.984,25066.889
"wt_1",198.313,25111.699
"wt_1",198.643,24987.564
"wt_1",198.972,25127.367
"wt_1",199.301,25220.225
"wt_1",199.631,25247.297
"wt_1",199.96,25696.285
"wt_1",200.29,25703.998
"wt_1",200.619,25732.094
"wt_1",200.949,25925.986
"wt_1",201.278,26053.416
"wt_1",201.607,26371.551
"wt_1",201.937,26502.109
"wt_1",202.266,26637.662
"wt_1",202.596,26705.383
"wt_1",202.925,27184.359
"wt_1",203.255,27221.602
"wt_1",203.584,26851.938
"wt_1",203.913,27098.584
"wt_1",204.243,26813.742
"wt_1",204.572,26976.197
"wt_1",204.902,26981.094
"wt_1",205.231,27095.281
"wt_1",205.561,27218.551
"wt_1",205.89,27655.064
"wt_1",206.219,27734.84
"wt_1",206.549,27534.92
"wt_1",206.878,27355.217
"wt_1",207.208,27662.566
"wt_1",207.537,28025.178
"wt_1",207.866,27670.613
"wt_1",208.196,27863.322
"wt_1",208.525,27821.979
"wt_1",208.855,27855.818
"wt_1",209.184,27637.697
"wt_1",209.514,27569.629
"wt_1",209.843,27335.537
"wt_1",210.172,26791.582
"wt_1",210.502,26663.494
"wt_1",210.831,26567.803
"wt_1",211.161,26517.533
"wt_1",211.49,26470.598
"wt_1",211.82,26550.408
"wt_1",212.149,26365.391
"wt_1",212.478,25975.24
"wt_1",212.808,25826.49
"wt_1",213.137,26373.578
"wt_1",213.467,26241.986
"wt_1",213.796,26452.613
"wt_1",214.126,26788.857
"wt_1",214.455,26758.555
"wt_1",214.784,26762.809
"wt_1",215.114,26866.252
"wt_1",215.443,27023.039
"wt_1",215.773,27224.232
"wt_1",216.102,27261.34
"wt_1",216.431,27446.127
"wt_1",216.761,27326.605
"wt_1",217.09,26667.215
"wt_1",217.42,26676.678
"wt_1",217.749,26593.311
"wt_1",218.079,26701.244
"wt_1",218.408,26773.771
"wt_1",218.737,26736.164
"wt_1",219.067,27108.994
"wt_1",219.396,27218.846
"wt_1",219.726,26773.131
"wt_1",220.055,26976.324
"wt_1",220.385,27029.67
"wt_1",220.714,27271.393
"wt_1",221.043,27377.324
"wt_1",221.373,27664.07
"wt_1",221.702,27988.953
"wt_1",222.032,28024.152
"wt_1",222.361,27877.82
"wt_1",222.691,27829.527
"wt_1",223.02,27823.064
"wt_1",223.349,27693.617
"wt_1",223.679,27502.336
"wt_1",224.008,27617.891
"wt_1",224.338,27052.844
"wt_1",224.667,26914.164
"wt_1",224.997,27267.262
"wt_1",225.326,27561.027
"wt_1",225.655,27241.82
"wt_1",225.985,27190.242
"wt_1",226.314,27427.109
"wt_1",226.644,27995.27
"wt_1",226.973,27537.299
"wt_1",227.302,27671.98
"wt_1",227.632,28120.291
"wt_1",227.961,28266.15
"wt_1",228.291,28441.402
"wt_1",228.62,28532.184
"wt_1",228.95,28167.453
"wt_1",229.279,28367.777
"wt_1",229.608,28579.559
"wt_1",229.938,28821.084
"wt_1",230.267,28761.508
"wt_1",230.597,28785.826
"wt_1",230.926,28991.033
"wt_1",231.256,28809.898
"wt_1",231.585,28931.586
"wt_1",231.914,29708.527
"wt_1",232.244,29876.439
"wt_1",232.573,30024.971
"wt_1",232.903,30341.824
"wt_1",233.232,30426.254
"wt_1",233.562,30749.369
"wt_1",233.891,30940.154
"wt_1",234.22,31061.148
"wt_1",234.55,30515.082
"wt_1",234.879,30459.174
"wt_1",235.209,30209.906
"wt_1",235.538,30047.332
"wt_1",235.867,30036.004
"wt_1",236.197,29929.686
"wt_1",236.526,29840.152
"wt_1",236.856,30258.32
"wt_1",237.185,29962.768
"wt_1",237.515,29701.602
"wt_1",237.844,29719.441
"wt_1",238.173,30086.939
"wt_1",238.503,30360.01
"wt_1",238.832,30344.023
"wt_1",239.162,30158.529
"wt_1",239.491,30406.1
"wt_1",239.821,30694.561
"wt_1",240.15,30902.211
"wt_1",240.479,31114.406
"wt_1",240.809,31199.566
"wt_1",241.138,30550.781
"wt_1",241.468,30891.215
"wt_1",241.797,30999.266
"wt_1",242.127,30630.51
"wt_1",242.456,30755.105
"wt_1",242.785,30068.455
"wt_1",243.115,30191.455
"wt_1",243.444,30096.221
"wt_1",243.774,30059.971
"wt_1",244.103,29444.021
"wt_1",244.433,29543.051
"wt_1",244.762,29336.42
"wt_1",245.091,29357.451
"wt_1",245.421,29114.656
"wt_1",245.75,29152.352
"wt_1",246.08,29219.027
"wt_1",246.409,29123.391
"wt_1",246.738,28932.121
"wt_1",247.068,28785.258
"wt_1",247.397,29151.535
"wt_1",247.727,28951.086
"wt_1",248.056,28675.322
"wt_1",248.386,28506.955
"wt_1",248.715,28562.406
"wt_1",249.044,29015.252
"wt_1",249.374,28861.324
"wt_1",249.703,28824.432
"wt_1",250.033,28940.094
"wt_1",250.362,28970.115
"wt_1",250.692,28656.494
"wt_1",251.021,28980.789
"wt_1",251.35,29053.895
"wt_1",251.68,28630.764
"wt_1",252.009,28765.623
"wt_1",252.339,28756.92
"wt_1",252.668,28777.615
"wt_1",252.998,28957.627
"wt_1",253.327,28904.449
"wt_1",253.656,28867.074
"wt_1",253.986,28573.416
"wt_1",254.315,28784.057
"wt_1",254.645,28685.049
"wt_1",254.974,28981.613
"wt_1",255.303,28542.693
"wt_1",255.633,28373.984
"wt_1",255.962,28382.688
"wt_1",256.292,28396.438
"wt_1",256.621,28362.033
"wt_1",256.951,28365.695
"wt_1",257.28,28540.186
"wt_1",257.609,28542.67
"wt_1",257.939,28418.045
"wt_1",258.268,27861.447
"wt_1",258.598,28192.217
"wt_1",258.927,28270.348
"wt_1",259.257,28192.527
"wt_1",259.586,28521.377
"wt_1",259.915,28615.059
"wt_1",260.245,28559.293
"wt_1",260.574,28843.576
"wt_1",260.904,28709.537
"wt_1",261.233,28741.824
"wt_1",261.563,28743.854
"wt_1",261.892,28882.611
"wt_1",262.221,28677.92
"wt_1",262.551,28691.105
"wt_1",262.88,28441.42
"wt_1",263.21,28882.145
"wt_1",263.539,29133.893
"wt_1",263.869,29228.615
"wt_1",264.198,29031.273
"wt_1",264.527,29107.064
"wt_1",264.857,28970.814
"wt_1",265.186,28923.229
"wt_1",265.516,28708.07
"wt_1",265.845,29047.775
"wt_1",266.174,28663.934
"wt_1",266.504,28747.656
"wt_1",266.833,28580.395
"wt_1",267.163,28480.814
"wt_1",267.492,28560.17
"wt_1",267.822,28724.795
"wt_1",268.151,29055.76
"wt_1",268.48,29210.863
"wt_1",268.81,29661.809
"wt_1",269.139,29919.561
"wt_1",269.469,30041.973
"wt_1",269.798,30000.969
"wt_1",270.128,29784.775
"wt_1",270.457,29961.254
"wt_1",270.786,29856.697
"wt_1",271.116,29961.703
"wt_1",271.445,29513.242
"wt_1",271.775,29787.094
"wt_1",272.104,29731.906
"wt_1",272.434,29592.689
"wt_1",272.763,29418.701
"wt_1",273.092,29910.232
"wt_1",273.422,29927.234
"wt_1",273.751,29695.604
"wt_1",274.081,30278.305
"wt_1",274.41,30175.146
"wt_1",274.74,30285.854
"wt_1",275.069,30534.984
"wt_1",275.398,30765.797
"wt_1",275.728,31203.602
"wt_1",276.057,31209.088
"wt_1",276.387,31281.631
"wt_1",276.716,31277.205
"wt_1",277.045,31487.176
"wt_1",277.375,31369.797
"wt_1",277.704,31509.74
"wt_1",278.034,31854.404
"wt_1",278.363,31988.748
"wt_1",278.693,31723.33
"wt_1",279.022,32064.008
"wt_1",279.351,32190.145
"wt_1",279.681,32394.715
"wt_1",280.01,32227.697
"wt_1",280.34,32364.318
"wt_1",280.669,32189.818
"wt_1",280.999,32493.254
"wt_1",281.328,32323.344
"wt_1",281.657,32459.371
"wt_1",281.987,32874.262
"wt_1",282.316,32826.898
"wt_1",282.646,32896.574
"wt_1",282.975,32443.648
"wt_1",283.305,32701.463
"wt_1",283.634,32561.84
"wt_1",283.963,32659.189
"wt_1",284.293,32464.357
"wt_1",284.622,32316.826
"wt_1",284.952,32589.191
"wt_1",285.281,32825.902
"wt_1",285.611,32840.828
"wt_1",285.94,32506.588
"wt_1",286.269,32271.314
"wt_1",286.599,32278.51
"wt_1",286.928,32202.828
"wt_1",287.258,32418.822
"wt_1",287.587,32196.359
"wt_1",287.916,32302.246
"wt_1",288.246,32644.67
"wt_1",288.575,32824.945
"wt_1",288.905,33011.766
"wt_1",289.234,33292.609
"wt_1",289.564,33671.996
"wt_1",289.893,33748.613
"wt_1",290.222,34085.961
"wt_1",290.552,33972.703
"wt_1",290.881,34335.648
"wt_1",291.211,34084.371
"wt_1",291.54,34724.277
"wt_1",291.87,34701.527
"wt_1",292.199,34739.578
"wt_1",292.528,34928.402
"wt_1",292.858,34961.125
"wt_1",293.187,34966.348
"wt_1",293.517,34459.617
"wt_1",293.846,34542.574
"wt_1",294.176,35136.129
"wt_1",294.505,34796.039
"wt_1",294.834,35100.133
"wt_1",295.164,35572.996
"wt_1",295.493,36165.586
"wt_1",295.823,36666.875
"wt_1",296.152,36772.152
"wt_1",296.481,36978.516
"wt_1",296.811,37561.465
"wt_1",297.14,37585.359
"wt_1",297.47,37669.164
"wt_1",297.799,38152.902
"wt_1",298.129,38379.789
"wt_1",298.458,38518.59
"wt_1",298.787,38387.875
"wt_1",299.117,38510.98
"wt_1",299.446,38001.387
"wt_1",299.776,38059.953
"wt_1",300.105,38277.953
"wt_1",300.435,38405.34
"wt_1",300.764,37818.375
"wt_1",301.093,37908.344
"wt_1",301.423,37502.398
"wt_1",301.752,37865.203
"wt_1",302.082,37315.855
"wt_1",302.411,37512.645
"wt_1",302.741,37362.344
"wt_1",303.07,37674.934
"wt_1",303.399,37996.926
"wt_1",303.729,38214.238
"wt_1",304.058,38353.5
"wt_1",304.388,38732.512
"wt_1",304.717,38935.094
"wt_1",305.047,39596.078
"wt_1",305.376,39562.68
"wt_1",305.705,40112.812
"wt_1",306.035,39927.895
"wt_1",306.364,40572.074
"wt_1",306.694,40908.98
